,abstract
0,faktor utama pengaruh atur lampu lintas khusus jalan soekarno hatta buah batu volume kendara padat kendara antri kendara butuh nyala lampu lintas optimal volume kendara lintas macet sesuai lampu hijau kendara ruas jalan kendara banding lampu hijau akibat macet tuju teliti nyala lampu lalulintas optimal jalan soekarno hatta buah batu data olah simulasi promodel laku analisis banding model model baharu masuk kontrol nyala lampu lintas dasar hasil simulasi skenario hasil optimal skenario usul pagi arah timur lampu hijau detik ubah kendara kendara arah barat lampu hijau detik ubah kendara kendara arah selatan lampu hijau detik ubah kendara kendara arah timur lampu hijau detik ubah kendara kendara sore arah timur lampu hijau detik ubah kendara kendara arah barat lampu hijau detik ubah kendara kendara arah selatan lampu hijau detik ubah kendara kendara arah timur lampu hijau detik ubah kendara kendara durasi sala lampu merah lampu hijau usul teliti antri ruas jalan ratarata
1,proyek evaluasi laku proyek masuk tahap kerja tutup lambat laksana henti laksana biaya proyek ultrasonic metering upgrade lambat kerja proyek rencana selesai nyata selesai laku cepat tumpuk giat susul lambat kerja cepat pengaruh hadap biaya sesuai sesuai anggar biaya tuju teliti evaluasi kerja biaya proyek kerja proyek metode earned value usul kendali proyek timbang proyek jalan sesuai rencana hasil evaluasi earned value early warning inefisiensi kerja selesai proyek laku antisipasi bengkak biaya lambat selesai proyek cegah dasar hasil teliti temu performansi biaya proyek alam simpang indeks kerja biaya efisien periode keenambelas proyek biaya milyar anggar biaya milyar temu performansi proyek alam lambat kerja indeks kerja jadwal proyek kerja laku efisien periode keenambelas proyek selesai kerja rencana aspek biaya jadwal tenaga kerja material bahan alokasi kerja
2,dunia industri otomotif kembang pesat masuk indonesia pabrikan mobil cari komponen kualitas harga rendah optimal rupa tantang pasok komponen otomotif jaga lancar bisnis timbang pilih pasok harga kualitas produk kompetitif usaha hasil produk inovasi biaya unit kompetitor produk segi kualitas harga produk kompetitif terap lokalisasi komponen produk harap usaha produk kualitas harga kompetitif tuju raih usaha pilih pasok pilih pasok metode topsis tuju pilih pasok capai hasil teliti temu metode topsis seleksi pilih pasok komponen otomotif
3,lapor tugas laku kait operator produksi pengaruh idle time produktif bangkit listrik tenaga plta operator peran proses bangkit energi listrik tugas operasi alat pantau deteksi kaji rencana implementasi operasi bangkit operator interpretasi integrasi informasi dasar latih alam komunikasi operator etos kerja produktivitas kerja produktif idle indikator hasil usaha manfaat sumber daya hasil produk usaha usaha idle tingkat produktif work sampling salah metode ukur kerja ukur produktif idle mudah work sampling teknik laku cepat periode kelompok kerja mesin proses teliti fokus kerja operator aplikasi ukur kerja cari operator optimal proses produksi energi listrik ukur kerja tugas tingkat idle time produktif operator pilih hasil operator salah responden milik tingkat produktif tingkat idle time rendah responden operator milik tingkat produktif rendah tingkat idle time laku tindak correction rekomendasi operator optimal proses produksi plta manfaat data hasil ukur kerja metode work sampling
4,kalbe morinaga indonesia usaha gerak bidang pangan produksi susu formula produk susu formula produksi temu cacat batas toleransi akibat turun kualitas teliti laku proses produksi laku wawancara libat tuju teliti identifikasi cacat produk metode sigma usul metode fault tree analysis failure mode effects analysis fmea metode sigma ukur sigma quallity level dasar nilai defect million opportunity dpmo proses produksi susu formula metode fault tree analysis identifikasi cacat acu laku metode failure mode effect analysis fmea usul dasar nilai risk priority number cacat dasar hasil olah sigma jenis cacat cacat indikasi bakteri cacat kadar laktosa cacat sesuai standar hasil hitung metode sigma nilai dpmo nilai sigma quality level hasil fault tree analysis faktor cacat nilai risk priority number metode failure mode effect analysis fmeayang prioritas disiplin latih teliti monitoring flushing monitoring swab monitoring organoleptik usul laku laku monitoring personal hygiene laku training organoleptik personal hygiene rutin form disposisi produk laku monitoring flushing swab laku sharing knowledge hasil nilai dpmo nilai
5,karyawan rupa asset usaha nyata seringkali karyawan alam kondisi sesuai harap ruang lingkup kerja rangkai tuntut kait kerja beban fisik mental kerja berlebihanpt rupa usaha gerak bidang investasi jasa edukasi trading forexforeign exchange tukar mata uang asing beda sistem kerja karyawan beda kerja lihat keluh karyawan alam beban kerja fisik mental ratarata teliti metode ukur beban kerja fisik metode cardiovascular load beban kerja mental metode nasatask load index nasatlxsetelah laku regresi analisa lanjutanberdasarkan hasil analisis karyawan butuh total karyawan hasil nasatlx karyawan kategori beban kerja mental tinggitemporal demand arti tekan kait elemen kerja langsung rupa aspek dikeluhkansetelah mental demand rupa aktivitas mental butuh aspek keluh
6,sarana trimitra solusindo hadap sedia gudang lambat pesan barang stok pesan back order teliti tuju jadwal kirim produk biaya kirim produk minimal biaya usaha laku jadwal banding biaya distribusi usaha laku terap olah data laku metode ukur pesan metode optimal sedia biaya distribusi usaha hasil teliti biaya pesan frekuensi kirim kali total biaya distribusi usaha terap metode pesan produk unittahun frekuensi kirim kali total biaya distribusi biaya simpan tahununit terap metode biaya distribusi usaha turun biaya distribusi
7,banyan tirta rupa usaha gerak bidang produksi distribusi mineral khusus produk merek alto usaha fungsi distributor distribusi mineral agen bandung distribusi banyan tirta kondisi pilih rute distribusi mineral anggap efisien lihat rute dasar kemudi pilih armada hati kapasitas angkut penuh agen kondisi akibat biaya operasional kirim teliti tuju rute kendara efisien jarak tempuh pendek armada biaya transportasi minimum metode saving heuristic bantu pecah rute distribusi mineral metode titiknodeagen rute distribusi pisah dasar jarak saving heuristic rupa salah metode vehicle routing problem bantu rute efisien saving heuristic tahap laku rute matriks jarak node rangking saving nilai saving rendah dasar hasil hitung saving heuristic tingkat layan karton total jarak kondisi kmhari unit armada ongkos transportasi metode saving heuristic total jarak rute pendek kmhari ongkos transportasi armada kirim unit
8,bhimasena research development rupa usaha gerak bidang industry tahan sektor manufaktur dominasi fabrikasi rupa sector tekan hasil karya tekan hadap selamat sehat tenaga kerja dasar data angka celaka kerja bhimasena research development fabrikasi celaka kerja celaka kerja usaha angka minimalisir pengaruh dampak usaha teliti observasi studi usaha simpul faktor manusia faktor teknis rupa faktor pengaruh hadap celaka kerja dasar teliti pengaruh faktor manusia faktor teknis hadap celaka kerja tenaga kerja bhimasena research development analisis laku regresi linier ganda hasil teliti faktor manusiax faktor teknisx milik pengaruh signifikan simultan hadap celaka kerja faktor manusia milik pengaruh arah negatif hadap celaka kerja faktor teknis milik pengaruh arah positif hadap celaka kerja hasil analisis model matematis prediksi celaka kerja usaha laku tindak preventif hadap kerja celaka kerja
9,autobus company established beginning company running main business managing trucks transportation services this company started business autobus company established basar darma sadia company headquarter sindanglaya bandung problem which investigated costumer satisfaction level from service quality company this research been prepared help company improving service quality suggestion improvement done when customers perception expectation known factors that determine customer satisfaction service quality that composed five dimensions model analysis that used this research servqual this model investigate perceptions expectations customers based five service dimensions identify five gaps that cause quality gaps mean unsuitable conditions between perceived service expected service from data analyzing processing concluded that costumers expect best service expectation level that expected costumers that almost fulfill company about rent price from tangible dimension that lowest score feet space between chairs service quality priority that expected improve based level feet space between chairs isle width reclining seat crew performance
