,abstract
0,segmentasi langgan dasar target bagianbagian langgan minimal biaya pesan tingkat profitabilitas metode laku kelompok langgan langgan nilai profitabilitas hadap usaha transaksi laku segmentasi langgan teknik data mining clustering buah putus bisnis efektif strategi bisnis segmen teliti teknik hierarchical clustering kelompok data metode agglomerative hierarchical clustering proses hasil analisis metode hasil kelompok langgan orang langgan masuk kelompok data teliti data transaksi retail data data jupyter notebook tools implementasi metode bahasa python olah data presentasi data teliti rupa segmentasi langgan tampil visualisasi grafik gambar perilaku bisnis langgan segmentasi langgan hasil kelompok kelompok kelompok dasar data transaksi
1,dukung teknologi telehealth kembang proses periksa kondisi sehat batas giat telehealth butuh utama pasien sulit jangkau tenaga sehat teknologi telehealth indonesia tunjang periksa fisik mandiri khusus pasien milik sakit jantung pantau sehat jantung dasar suara selesai stetoskop elektronik bahas teliti stetoskop elektronik bangun integrasi stetoskop akustik audio mikrokontroler microphone mikrofon kartu simpan memori simpan berkas hasil rekam suara jantung stetoskop elektronik rekam suara jantung riwayat kembang kondisi jantung dasar suara proses telehealth
2,otomotif rupa hobi gemar masyarakat indonesia khusus hobi kendara sepeda motor koleksi varian merek harley davidson bikers laku rombak motor harley davidson ragam rombak laku penuh selera hati lahir bermacammacam gaya alir modifikasi kembang ringan berat jenis jenis alir modifikasi stock custom dresser streetster tech custom full custom chopper extrem chopper hardcore psycodelic tuju capai tugas aplikasi simulasi modifikasi sepeda motor interaktif basis multimedia laksana modifikasi cepat selesai biaya aplikasi simulasi bantu milik harley davidson laksana modifikasi pilih komponen spesifikasi aplikasi teknologi informatika terap teknologi virtual data base teknologi macromedia flash tampil grafis interface pakai windows basis sistem operasi jalan aplikasi
3,sedia inventory rupa bahan baku simpan usaha penuh langgan hadap sedia barang tumpuk gudang barang milik kadaluwarsa kadaluwarsa barang barang layak jual dampak usaha alam rugi nusantara motor bandung rupa usaha gerak bidang otomotif layan jasa rawat laku jual suku cadang kendara roda nusantara motor bandung milik stok suku cadang dasar hasil teliti suku cadang fast moving slow moving pasar milik kadaluarsa proses jual sedia barang habis habis selesai kembang sistem inventory sistem inventory menu kelola data stok barang purchase request purchase order sales order lapor datadata kait jual suku cadang stok barang metode fifo firstin firstout dasar tanggal terima barang gudang metode fifo rupa metode catat sedia asumsi sedia masuk jual sedia masuk hindar suku cadang fast moving slow moving kadaluwarsa
4,jaring rupa jaring telekomunikasi cepat gelombang radio transmisi data user gelombang radio transmisi data gantung bandwidth tersediaterbatasnya bandwidth digunakanmengakibatkan butuh algoritma jadwal packet schedulerpacket scheduler fungsi jadwal kirim data gelombang radio dasar nilai putus hasil algoritma packet scheduler nilai metric teliti jenisalgoritma packet scheduler uji maxthroughput proportional fair rupa packet scheduler jenis channelaware volte rupa layan suara jaring tuntut milik nilai standar kualitas layan suara mean opinion score teliti tuju uji kerja packet scheduler maxthroughput proportional fairdengan banding throughput packet loss ratio delay fairness spectral efficiency teliti batas cell variasi user cepat gerak user jenis trafik data voip trafik data video banding ukur byte byte teliti laku mensimulasikan kerja packet scheduler software ltesim release dukung bahasa hasil teliti packet scheduler maxthroughput packet scheduler proportional fair banding throughput spectral efficiency packet scheduler proportional fair packet scheduler maxthroughput banding packet loss ratio delay fairness packet scheduler proportional fair penuh standar kualitas volte packet scheduler maxthroughputtidak penuh standar kualitas volte
5,extract transform load buah jembatan bangun buah data warehouse tanggung ekstraksi data sumber data pisah integrasi pasu data warehouse proses rupa salah tugas bangun buah data warehouse rancang bangun proses rancang bangun transformasi data warehouse laku tahap analisis laksana rancang bangun potensi hasil data warehouse cepat akurat bangun data warehouse butuh fokus paham bidang utama bidang data sumber bidang data tuju bidang peta universitas widyatama salah universitas favorit bandung bangun buah data warehouse desak butuh data dashboard tampil data sumber data akademik uang bahasa pemograman hypertext preprocessor database mysql dashboard tampil chart durasi bangun schedule proses tools laku proses schedule pentaho data integration bangun data warehouse datadata sumber integrasi proses query mudah hasil informasi lihat aplikasi dashboard proses transformasi bangun data warehouse salah informasi proses lapor pimpin universitas sistem ambil putus borang akreditasi
6,media ajar rupa buah proses didik orang khusus didik laku orang anak bukti media ajar media ajar bentuk cetak aplikasi desktop seringkali sifat monoton alam batas akses kembang teknologi informasi manfaat media ajar cocok anak sedia akses luas media ajar gabung teknologi flash animatif sedia akses luas media ajar anak ajar ajar huruf hijaiyah ajar doadoa kerja kuis selesai kuis nilai soalsoal kuis ambil materi ajar media ajar kuis tuju tolak ukur tingkat kefahaman hadap materi ajar media ajar bangun media ajar anak metode kembang perangkat lunak model waterfall tahap analisa metodologi orientasi alir data data flow diagram aplikasi bangun perangkat lunak utama adobe flash adobe dreamwaver perangkat lunak dukung xampp sever mozilla firefox browser program basis data mysql bahasa program mengkoneksikan aplikasi basisdata
7,indonesia rupa bangsa kaya keanekaragaman budaya indonesia suku provinsi bentuk republik indonesia masingmasing daerah indonesia milik seni budaya berbedabeda unik ciri khas daerah masuk budaya asing indonesia rendah kenal budaya masyarakat utama anak sekolah faktor peduli masyarakat hadap budaya indonesia kenal budaya anakanak laku kenal budaya terap sekolah mata ajar seni budaya proses ajar terap buku anak anak baca anakanak cenderung suka halhal sangkut teknologi anakanak suka anggap tarik baca buku proses kenal budaya terap beda anak anak masyarakat tarik mempelejarinya bangun aplikasi teliti terap augmented reality kenal budaya indonesia hasil harap bangun aplikasi masyarakat khusus anakanak mudah ajar budaya indonesia tingkat lupa budaya indonesia
8,algoritma rinjdael rupa algoritma kriptografi menang sayembara buka adakan nist national institute standarts technology pilih ganti algoritma kriptografi data encryption standard anggap aman kunci relatif pendek mudah pecah alam proses sempurna nist rijndael standard algoritma kriptografi kenal advanced encryption standard tuju aman data file milik akses data file teliti bahas salah bentuk kriptografi kriptografi algoritma rinjdael laku banding performansi algoritma twofish tangguh algoritma masingmasing implementasi bahasa pemograman microsoft visual basic
9,location based servicelbs tuju letak mudah user cari lokasi tuju kembang teknologi informasi salah telepon genggam kembang aplikasi mudah aplikasi sistem operasi android kenal sistem operasi buka bantu kembang aplikasi terap sistem operasi android terap spbu mudah jalan cari lokasi spbu utama wisatawan lokal kunjung kota bandung dasar laku teliti implementasi location based service sistem operasi android cari spbu wilayah bandung teliti aplikasi bahasa java eclips rupa android developer tools metode kembang perangkat lunak metode prototype hasil uji teliti location based service cari lokasi spbu wilayah bandung milik rincian fasilitas spbu cari spbu laku pasu alamat spbu tuju lihat langsung peta sedia cari dasar lokasi user fitur perangkat android gpsglobal positioning system dukung google maps
