,abstract
0,daihatsu taft buah kendara offroad kenal andal hadap medan sulit kendara taft alam gagal komponen masuk poros roda poros roda rupa salah komponen utama sistem gerak roda kendara poros tanggung salur daya diferensial roda kendara gerak maju poros roda rupa gerak alam beban dinamis rentan hadap tegang tegang berulangulang terusmenerus tegang maksimum kuat statis bahan poros gagal kondisi sifat mekanik material alam ubah tahan beban maksimum turun poros roda material baja karbon medium kandung karbon gagal poros roda beban momen torsi batas tegang normal poros kondisi pengaruh desain gardan tipe semi floating alih beban kendara poros roda beban angkut ratarata kendara ekspedisi offroad capai lampau rekomendasi beban angkut standar teliti metode kumpul data literatur kait laku lapang hadap kendara alam gagal poros roda ambil contoh komponen poros alam gagal analisis laku hadap karakteristik bahan material poros beban angkut ratarata kendara kontur lingkung medan offroad analisis gagal poros roda daihatsu taft medan offroad tekan kembang komponen tahan hadap beban torsi pilih material tindak kendara efektif tantang medan offroad tingkat kerja kondisi ekspedisi
1,sistem bahan bakar pesawat cessna milik sistem salah sistem bahan bakar sistem fungsi alir elo bahan bakar masuk mesin pesawat distribusi bahan bakar bantu gaya gravitasi pesawat cessna operasi alam bahan bakar alir carburetor teliti langsung tuju analisis tangan bahan bakar alir carburetor pesawat cessna bahan bakar alir carburetor maintenance sistem bahan bakar fuel tank inpection fuel line inpection plugged pipe line inspection defective fuel selector valve inpection plugged fuel strainer inspection identifikasi sumber teliti bahan bakar alir carburetor bahan bakar kontaminasi endap drum simpan bahan bakar fuel tank pesawat operasi endap bahan bakar terkontaminansi masuk fuel tank sistem bahan bakar pesawat sumbat fuel strainer sumbat fuel strainer akibat endap tutup filter bahan bakar alir carburetor laku repair fuel strainer fuel tank laku periksa tes sistem bahan bakar pesawat bahan bakar kontaminasi endap fuel tank laku kuras bahan bakar isi ulang bahan bakar laku semprot fuel tank
2,faktor pengaruh insiden engine flame pesawat terbangdimana perhati insiden bahaya pesawat terbang alam celaka metode teliti skripsi studi literatur analisis data studi literatur laku baca buku jurnal dokumen kait engine flame pesawat terbang analisis data laku ajar lapor insiden pesawat terbang boeing pklkk engine
3,passenger service unit komponen pesawat letak baris kursi tumpang pesawat lampu baca keras suara alam rusak cacat pinggir alam ubah bentuk patah kayu albasia daya rekat rusak pengaruh hadap performa pesawat ganggu nilai estetika pesawat metode repair passenger service unit metode hand hand rupa proses open mould cetak buka aplikasi resin bahan kuat kuas roll repair proses rekondisi bonding rekat filling painting hasil repair passenger service unit milik rusak visual ubah bentuk patah kayu albasia daya rekat laku muka lubanglubang pinggir rekat kali metode hand repair passenger sevice unit repair manual putra bangsa sejati proses rekondisi muka bonding rekat muka painting indah lapis kulit direkondisi rekat antarpermukaan dishbond hasil repair debonding hasil beda repair milik rupa muka void lubanglubang batas alat
4,iring jalan konsumsi energi listrik butuh indonesia upaya laku cari potensi energi kembang teknologi butuh energi listrik tingkat laku upaya lai butuh energi listrik manfaat potensi kondisi daerah energi manfaat luas bangkit listrik potensi sumber energi utama sedia energi listrik tenaga piko hidro salah manfaat energi bangkit listrik tenaga metode teliti analisis rancang butuh rancang turbin aplikasi solidworks bentuk turbin milik sifat sederhana portable bawa ukur penuh kriteria diameter laku rancang turbin laku hitung analisis daya turbin data butuh laku hitung debit head massa jenis cepat gravitasi efisiensi turbin rumus daya turbin daya turbin nilai debit watt laku hitung nilai debit efisiensi turbin laku hitung nilai daya turbin watt
5,cacat hasil cor akibat cetak pasir temperatur cor logam akibat cetak mudah rusak ubah temperatur drastis kuat cetak pengaruh hasil cor dingin preheat tuju minimal rusak cetak cor temperatur masuk cetak tuju teliti pengaruh preheat hadap cetak pasir ikat timbul akibat preheat sampel teliti campur pasir silika reklamasi komposisi resin pasir katalis resin uji laku distribusi pasir kadar kuat tekan loss ignition scanning electron microscopy hasil analisa pasir temperatur preheat milik nilai kuat tekan kgcm sampel lihat ikat akibat preheat hasil ikat padat sampel sampel mudah rusak
6,pesawat cessna mesin avco lycoming mesin avco lycoming pressure sistem pressure garis merah minimum tekan izin terbang busur hijau gambar kisar tekan operasi merah garis tekan maksimum izin indikator lumas mesin avco lycoming lumas sistem basah sump teliti tuju pressure upaya pressure upaya cegah pressure tangan pressure hose bocor akibat tekan rendah laku troubleshooting supply viscosity pressure relief valve pump filter pressure suction line dasar analisis pressure mesin avco lycoming pesawat cessna bocor pressure hose bocor pressure hose laku ganti komponen pressure hose laku periksa inspection tes engine test upaya cegah pressure mesin avco lycoming pasok quarts viskositas suhu rendah katup lepas tekan atur tekan pompa pompa alir filter saring kotor jalur tekan hisap pressure hose bocor
7,twitter salah social media pengaruh utama indonesia klasifikasi komentar twitter bahasa indonesia jarang laku terap luas teliti tuju laku klasifikasi komentar negatif positif twitter hasil persentase dukung kandidat calon gubernur jawa barat teliti aplikasi klasifikasi komentar algoritma artificial neural network perceptrondengan metode algoritma artificial neural network hasil sistem harap bantu calon kandidat gubernur sikap komentar negatif positif
8,engine performance rupa salah task tuju lihat performa engine leak abnormality engine running laksana engine runup laku dedicated area dasar requirement penuh milik area runup khusus runup letak barat hangar kapasitas pesawat narrow body turun performa engine kondisi engine rawat capai performa syarat turun versi thrust rate engine engine operasi standar performa rendah versi tugas tuju banding performance engine engine leap pesawat airbus dasar parameter engine ground teliti metode kumpul data observasi wawancara banding performance laku olah data data test cell banding nilai parameter engine performance hasil analisa banding parameter laksana engine ground milik kait dasar fungsi simpul kait engine vibration inputan kait temperature exhaust
9,gaya dorong thrust rupa faktor buah mesin pesawat terbang mesin turboprop gaya dorong hasil energi buang putar turbin salur balingbaling propeller poros putar turbin reduksi reduction gearbox putar propeller mesin honeywell tperc mesin honeywell tpejrc rupa mesin pesawat turboprop tipe single spool stage centrifugal compressor stage axial turbine dasar analisis hitung rumus termodinamika nilai gaya dorong mesin data mesin honeywell tperc mesin honeywell tpejrc teliti hasil hitung mesin honeywell tperc nilai propeller thrust nozzle thrust total thrust mesin honeywell nilai propeller thrust nozzle thrust total thrust gaya dorong thrust terbang level gaya dorong total total thrust mesin honeywell tpejrc milik nilai total thrust mesin honeywell tperc level ratarata total thrust dasar variasi mesin honeywell tpejrc milik nilai ratarata total thrust mesin honeywell tperc mesin honeywell tpejrc hasil performa total thrust
