id,title,abstract,study_program
14,MAKNA ASOSIATIF YANG TERDAPAT DALAM TAGLINE IKLAN BERBAHASA INGGRIS PADA MAJALAH teenOGUE (SATU KAJIAN SINTAKSIS-SEMANTIS),"Judul penelitian ini adalah Makna Asosiatif Yang Terdapat Dalam Tagline Iklan Kosmetik Berbahasa Inggris Pada Majalah teenVOGUE (satu kajian sintaksis-semantis).Tujuan penelitian ini adalah Untuk mendeskripsikan tagline iklan melalui pengklasifikasian data berdasarkan frasa, klausa, dan kalimat.Selain itu juga untuk mengetahui pola dan jenis tagline iklan tersebut jika ditinjau dari unsur gramatikal pembentuknya dan mengetahui asosiasi yang timbul pada tagline iklan tersebut. Data yang dianalisis diperoleh dari majalah teenVOGUE edisi tahun 2006 hingga 2009. Dari hasil penelitian ini penulis menenemukan bahwa para pembuat iklan lebih memilih menggunakan kalimat sebagai tagline-nya dari pada frasa atau klausa dan adanya penggunaan fallacy oleh produsen untuk mempersuasi calon konsumennya. Maka dapat ditarik kesimpulan bahwa tagline iklan diwujudkan dalam bentuk yang bervariasi dalam menyatakan fungsi meminta atau mengajak melakukan sesuatu dan pada umumnya tagline iklan disajikan dengan ragam bahasa sederhana dan gaya yang cukup menarik, yang antara lain terlihat pada asosiasi yang coba dimunculkan dengan tampilan dari gambar yang memiliki hubungan atau keterkaitan dengan tagline yang diusung.",Bahasa Inggris
17,FUNGSI TINDAK TUTUR TOKOH PROTAGONIS (CHRISTIAN GREY) DALAM NOVEL FIFTY SHADES OF GREY: KAJIAN SOSIOPRAGMATIK,"Penelitian ini berjudul “Fungsi Tindak Tutur Tokoh Protagonis (Christian Grey) dalam Novel Fifty Shades of Grey: Kajian Sosiopragmatik”. Tujuan dari penelitian ini adalah untuk: 1) mendeskrispsikan fungsi tindak tutur yang digunakan oleh tokoh protagonis (Chrsitian Grey) dalam novel Fifty Shades of Grey karya E L James, 2) mengidentifikasi skala dimensi sosial (Sosial Dimension) yang terdapat dalam tindak tutur pada tokoh protagonis (Christian Grey) dalam berbagai setting. Dalam penelitian ini, metode kualitatif digunakan dalam menjelaskan, menganalisis, dan mengklasifikasikan data. Ada dua ratus data yang diambil dari tindak tutur pemeran tokoh protagonis pada novel Fifty Shades of Grey yang dianalisis. Teori yang digunakan dalam penelitian ini adalah teori fungsi tindak tutur dari Yule (1996) dan teori dimensi sosial dari Holmes (2001). Dari hasil analisis diketahui bahwa terdapat Lima fungsi tindak tutur yang digunakan oleh Christian Grey dalam novel tersebut, yaitu fungsi tindak tutur representative (122 dari 200 data atau 61%), expressive (15 dari 200 data atau 7.5% ), directive (46 dari 200 data atau 23%), commissive (13 dari 200 data atau 6.5%), dan declarartive (4 dari 200 data atau 2%). Di samping itu, terdapat enam jenis skala dimensi sosial yang yang terdapat dalam tindak tutur tokoh protagonist (Christian Grey), yaitu skala dimensi sosial intimate (153 dari 200 data atau 76.5%), distant (15 dari 200 data atau 7.5 %), informal (14 dari 200 data atau 7%), superior (13 dari 200 data atau 6.5%), formal (2 dari 200 data atau 1 %) dan high solidarity (3 dari 200 data atau1.5%).",Bahasa Inggris
55,"REFERENSI PRONOMINA PERSONA DALAM NOVEL THE LION, THE WITCH AND THE WARDROBE KARYA C.S. LEWIS KAJIAN WACANA","Skripsi ini berjudul “Referensi Pronomina Persona Orang Pertama Tunggal dalam Novel The Lion, the Witch and the wardrobe karya C.S Lewis: Satu Kajian Analisis Wacana”. Materi yang dibahas pada skripsi ini adalah penggunaan referensi pada pronomina persona orang pertama tunggal dan jamak, yang mengisi posisi sebagai subjek dan objek. Penelitian ini bertujuan untuk menganalisis referensi yang digunakan oleh pronomina persona dalam sebuah kalimat. Metode yang digunakan dalam penelitian ini ialah metode deskriptif kualitatif dengan langkah-langkah sebagai berikut: mengumpulkan data, mengelompokan data, menganalisis data serta membuat simpulan. Adapun sumber data dari skripsi ini adalah novel The Lion, the Witch and the wardrobe karya C.S Lewis. Hasil penelitian ini menunjukan bahwa pronomina persona yang referensinya dapat bersifat anafora dan katafora. Fungsi pronomina persona yang muncul dalam novel tersebut adalah orang pertama sebagai subjek (I danWe), orang pertama sebagai objek (me dan us). Untuk kategori orang kedua sebagai subjek dan objek (You). Sedangkan orang ketiga sebagai subjek (He,She danThey), dan orang ketiga sebagai objek (him,her dan them).",Bahasa Inggris
84,UNGKAPAN IDIOMATIK (IDIOMATIC EXPRESSION) DALAM BUKU PANDUAN PERJALANAN WISATA SCANDINAVIA: KAJIAN SINTAKTIS,"Penelitian ini berjudul “Ungkapan Idiomatik (Idiomatic Expression) Dalam Buku Panduan Perjalanan Wisata Scandinavia: Kajian Sintaktis”. Penelitian ini bertujuan untuk (1) mengidentifikasi kategori sintaktis (2) mengidentifikasi tataran sintaktis, dan (3) menjelaskan jenis ungkapan idiomatik yang ditemukan berdasarkan kajian semantik. Metode yang digunakan dalam penelitian ini yaitu metode analisis deskriptif dengan langkah-langkah sebagai berikut: mengidentifikasi masalah, menentukan manfaat dan tujuan penelitian, melakukan studi pustaka, menelusuri dan menentukan kalimat-kalimat yang mengandung ungkapan idiomatik, mengumpulkan jenis-jenis ungkapan idiomatik, mengklasifikasi dan menganalisis data, penulisan laporan. Kerangka teori yang digunakan mengacu kepada teori sintaktis Carnie (2007) dan teori jenis idiom Peacock (2009). Hasil penelitian menunjukkan bahwa dari 30 data yang dianalisis, 80% termasuk ke dalam kategori leksikal diantaranya 46,7% jenis kata kerja, 20% jenis kata benda, dan 13,3% jenis kata sifat. Sementara itu, 20% lainnya termasuk ke dalam kategori fungsi jenis preposisi. Ungkapan idiomatik ini pada umumnya berada pada tataran sintaktis jenis frasa diantaranya 46,7% farsa verba, 33,3% frasa nomina, dan 20% frasa preposisi. Selanjutnya, berdasarkan jenis ungkapan idiomatik yang dianalisis, ditemukan 36,7 % data termasuk transparent idiom, 30% data termasuk semi-transparent idiom, 20% data termasuk semi-opaque idiom, dan 13,3% data termasuk opaque idiom.",Bahasa Inggris
133,CAMPUR KODE PADA IKLAN TV KOMERSIL PRODUK PERLENGKAPAN KAMAR MANDI (Toiletries): KAJIAN SOSIOLINGUISTIK,"Skripsi ini berjudul “Campur Kode pada iklan TV Komersil Produk Perlengkapan Kamar Mandi (Toiletries): Kajian Sosiolinguistik”. Tujuan penelitian ini adalah untuk 1) mengidentifikasi tipe campur kode dan 2) menganalisis faktor penyebab terjadinya campur kode pada iklan tv komersil produk perlengkapan kamar mandi (toiletries) berdasarkan teori Muysken (2002) dan Saville-Troike (1986). Metode penelitian yang digunakan adalah kualitatif deskriptif dengan langkah-langkah sebagai berikut: mengumpulkan data, mengklasifikasikan data berdasarkan tipe campur kode dan faktor penyebab terjadinya campur kode, menganalisis data dan membuat simpulan. Hasil penelitian ini menunjukkan bahwa 1) dari 32 data penelitian terdapat hanya satu tipe campur kode yang ditemukan dalam iklan tv komersil produk perlengkapan kamar mandi (toiletries) yaitu insertion (100%), 2) tiga faktor penyebab terjadinya campur kode yang ditemukan pada iklan tv komersil produk perelngkapan kamar mandi (toiletries) adalah 17 data (53%) to exclude other people comment is intended for only a limited audience, 14 data (44%) real lexical needs dan 1 data (3%) softening or strenghtening request or command .",Bahasa Inggris
139,PROBLEMATIKA SHORT CONVERSATIONS DALAM TES SIMULASI TOEIC YANG DIHADAPI OLEH PESERTA TES: Satu Studi Kasus pada Tes Simulasi TOEIC Periode November 2010 dan Maret 2011 di Universitas Widyatama,"Skripsi ini berjudul “Problematika Short Conversations dalam Tes Simulasi TOEIC yang Dihadapi oleh Peserta Tes: Satu Studi Kasus pada Tes Simulasi TOEIC Periode November 2010 dan Maret 2011 di Universitas Widyatama”. Materi yang dibahas dalam penelitian ini adalah kaitan persepsi peserta tes mengenai tingkat kesulitan tes dengan hasil tes, pertanyaan yang problematik bagi peserta tes dan unsur percakapan yang diujikan dalam soal bagian Short Conversations, dan petunjuk tekstual (textual clues) yang digunakan peserta tes dalam memilih jawaban. Penelitian ini bertujuan untuk mengetahui adanya kaitan persepsi peserta tes mengenai tingkat kesulitan tes dengan hasil tes, untuk mengetahui unsur percakapan yang diujikan pada bagian Short Conversations yang tergolong kategori sukar, sedang, dan mudah bagi peserta tes, dan untuk mengetahui kata-kata apa saja yang menjadi petunjuk tekstual (textual clues) yang digunakan peserta tes dalam memilih jawaban pada saat tes simulasi TOEIC. Metode yang digunakan dalam penelitian ini adalah metode deskriptif kuantitatif. Data diambil dari data kuesioner dan data hasil tes simulasi TOEIC Periode November 2010 dan Maret 2011 di Self Access Centre (SAC), Universitas Widyatama. Dari penelitian ini dapat disimpulkan bahwa kaitan antara hasil tes dengan persepsi peserta tes tentang tingkat kesulitas tes simulasi TOEIC bisa dilihat dari dua sisi. Pertama, persepsi peserta tes dengan hasil tes menunjukkan adanya kaitan jika melihat persentase tertinggi dari kuesioner dan hasil tes yang keduanya berada pada tingkat sedang. Di sisi lain, persepsi dengan hasil tes tidak menunjukkan kaitan jika melihat dari dua kategori dengan persentase tertinggi pada kategori dalam kuesioner dan hasil tes yang tidak berada pada dua kategori yang sama. Dari hasil tes, dapat disimpulkan bahwa terdapat 8 soal dengan unsur percakapan repetition, 8 soal dengan unsur percakapan violating the relation, 8 soal dengan unsur percakapan member-collection, 5 soal dengan unsur percakapan homonymy, dan 1 soal dengan unsur percakapan ellipsis. Dari hasil penghitungan menggunakan rumus indeks kesukaran (difficulty index) dapat disimpulkan bahwa pada 30 soal bagian Short Conversations terdapat 23 soal yang merupakan kategori soal yang sedang, 6 soal yang merupakan kategori soal yang mudah, dan 1 soal yang merupakan kategori soal yang sukar. Dalam memilih jawaban, peserta tes menggunakan 63 petunjuk tekstual (textual clues) yang berbentuk kata dan frasa yang peserta tes dapatkan dalam rekaman audio dan pilihan jawaban.",Bahasa Inggris
160,IMPLIKATUR PERCAKAPAN DALAM NASKAH DRAMA “THE BEAR” KARYA ANTON CHEKHOV: KAJIAN PRAGMATIK,"Skripsi ini berjudul “Implikatur Percakapan Dalam Naskah Drama “The Bear” karya Anton Chekhov: Kajian Pragmatik”. Penelitian ini bertujuan untuk mengidentifikasi jenis implikatur percakapan dan fungsi tuturan bentuk implikatur percakapan pada naskah drama “The Bear” karya Anton Chekhov. Metode yang digunakan dalam penelitian ini adalah metode deksriptif kualiatif. Adapun langkah-langkah penelitian yang ditempuh adalah sebagai berikut: mengumpulkan dan mencatat data berupa implikatur percakapan, memilah tuturan dari naskah drama “The Bear” karya Anton Chekhov khususnya tuturan yang mengandung implikatur pecakapan umum dan khusus, mencari teori-teori yang berkaitan dengan implikatur, mengklasisfikasikan data berdasarkan jenis implikatur dan fungsi tuturan, menganalisis data berdasarkan teori yang digunakan dan membuat simpulan. Data diambil dari naskah drama “The Bear karya Anton Chekhov” sebanyak 30 tetapi temuan nyatanya data lebih dari 30 data. Teori yang digunakan untuk menganalisis implikatur percakapan adalah teori Grice (1975) dan Levinson (1983), sedangkan untuk teori fungsi tuturan bentuk implikatur percakapan berdasarkan teori Searle (1979) dan Leech (1993). Hasil penelitian ini menunjukkan bahwa implikatur percakapan yang ditemukan ada 2 yaitu implikatur percakapan umum / Generalized Conversational Implicature sebanyak (18 data/60%) dan implikatur percakapan khusus / Particularized Conversational Implicature sebanyak (12 data/40%). Fungsi tuturan bentuk implikatur percakapan yang muncul adalah fungsi representative or assertive sebanyak (17 data/56,6%), fungsi directive sebanyak (8 data/26,6%), fungsi commisive sebanyak (3 data/10%), fungsi expressive sebanyak (2 data/6,8%) sedangkan fungsi declarative sebanyak (0 data/0%).",Bahasa Inggris
189,TINDAK TUTUR ILOKUSI EKSPRESIF PADA BUKU CERITA ANAK TALES FOR CREATIVE CHILDREN KARYA WATIEK IDEO: SATU KAJIAN PRAGMATIS,"Skripsi ini berjudul “Tindak Tutur Ilokusi Ekspresif pada Buku Cerita Anak Tales for Creative Children Karya Watiek Ideo: satu kajian pragmatis. Data pada skripsi ini diambil dari buku cerita anak Tales for Creative Children Karya Watiek Ideo. Metode yang digunakan pada skripsi ini adalah metode deskriptif dan kualitatif analisis. Tujuan dari penelitian ini adalah mendeskripsikan fungsi tindak tutur ilokusi ekspresif yang terdapat pada buku cerita anak Tales for Creative Children dan mendeskripsikan verba apa yang digunakan pada ilokusi ekspresif yang terdapat pada buku cerita anak Tales for Creative. Hasil yang diperoleh dari penelitian ini adalah terdapat delapan yang berfungsi sebagaia ilokusi ekspresif antara lain, tuturan ekspresif menyatakan terimakasih, tuturan ekspresif menyatakan ucapan selamat, tuturan ekspresif menyatakan menyesalkan, tuturan ekspresif menyatakan menyambut, tuturan ekspresif menyatakan mengkritik, tuturan ekspresif menyatakan memuji, dan tuturan ekspresif menyatakan menyetujui. Ditemukan verba ilokusi ekspresif yang digunakan buku cerita anak Tales for Creative Children antara lain, terimakasih, mengucapkan selamat, menyesalkan,menyambut, mengkritik, memuji, dan menyeujui.",Bahasa Inggris
246,LANGUAGE SHIFT PADA IMIGRAN ASAL INDONESIA DI JEDDAH SAUDI ARABIA: KAJIAN SOSIOLINGUISTIK,"Skripsi ini berjudul “LANGUAGE SHIFT PADA IMIGRAN ASAL INDONESIA DI JEDDAH SAUDI ARABIA: KAJIAN SOSIOLINGUISTIK”. Banyaknya jumlah imigran di suatu negara, khususnya imigran asal Indonesia, menyebabkan terjadinya penggunaan banyak bahasa pada seorang imigran. Untuk mempermudah pengumpulan data, penulis memilih salah satu imigran asal Indonesia agar penelitian menjadi lebih terfokus. Dalam penelitian ini, penulis menganalisis language shift yang terjadi pada aktivitas imigran, menjelaskan faktor-faktor terjadinya language shift, dan bagaimana proses terjadinya language shift yang diakibatkan oleh faktor-faktor tadi, serta mencari faktor yang paling dominan mempengaruhi terjadinya language shift. Tujuan dari penelitian ini adalah (1) mengidentifikasi jenis aktivitas yang paling menentukan dalam language shift, (2) mengidentifikasi faktor-faktor apa saja yang menyebabkan imigran melakukan language shift, (3) menjelaskan bagaimana faktor-faktor yang menyebabkan language shift tersebut bisa mempengaruhi penggunanya untuk meninggalkan bahasa asalnya, dan mengetahui faktor mana yang paling berkontribusi. Penelitan ini merupakan penelitian dengan metode deskriptif kualitatif, dengan menggunakan instrumen penelitian wawancara dan kuesioner. Adapun hasil dari penelitian ini adalah (1) aktivitas yang paling menentukan terjadinya pergeseran bahasa adalah aktivitas dilingkungan pekerjaan karena imigran lebih banyak menghabiskan waktu untuk bekerja, selama sekitar 10 jam, lalu di lingkungan masyarakat sekitar 5 jam, dan di lingkungan keluarga 9 jam, (2) faktor-faktor yang mempengaruhi imigran melakukan pergeseran bahasa adalah faktor ekonomi, faktor sosial politik, faktor demografi, dan faktor sikap dan nilai-nilai, dan (3) menunjukkan bahwa rangkaian faktor-faktor di atas bisa menyebabkan language shift, dan faktor yang paling dominan adalah faktor ekonomi.",Bahasa Inggris
364,ANALISIS ADJECTIVE CLAUSE DALAM NOVEL LORD OF THE RINGS : THE TWO TOWERS KARYA J.R.R. TOLKIEN DAN TERJEMAHANNYA,"Judul skripsi ini adalah “Analisis Adjective Clause Dalam Novel Lord Of The Rings : The Two Towers Karya J.RR. Tolkien Dan Terjemahannya.” Materi yang dibahas dalam skripsi ini adalah defining dan non-defining adjective clause, metode penerjemahan serta pergeseran terjemahan. Penelitian ini bertujuan untuk mendeskripsikan dan menganalisis metode penerjemahan yang digunakan untuk menerjemahkan adjective clause defining dan non-defining, apakah terjadi pergeseran atau tidak pada bahasa sumber, dan jenis pergeseran terjemahan yang terjadi pada defining dan non-defining . adjective clause Teori yang dipakai antara lain adalah teori penerjemahan yang mencakup metode penerjemahan dan pergeseran terjemahan, serta teori sintaksis yaitu kategori sintaksis dan unit sintaksis. Hasil penelitian yang didapat menunjukkan bahwa hanya dua data yang mengalami pergeseran penerjemahan. 93% data tidak mengalami pergeseran dalam penerjemahan.",Bahasa Inggris
