id,title,abstract,study_program
46,Fungsi Peta Yang Diproduksi  PT. Akal Cahaya Media  （ACM）Sebagai Sumber Informasi Wisatawan 観光客のための観光情報として PT. ACMにおける生産した地図の役割,"Banyak daya tarik yang bisa dijumpai di Kota Bandung, sehingga membuat wisatawan, baik wisatawan domestik maupun mancanegara, banyak berdatangan ke Kota Bandung. Hal itu menjadi salah satu penyebab semakin bertambahnya perusahaan-perusahaan produksi dan jasa untuk berlomba-lomba memberikan pelayanan yang terbaik bagi wisatawan. Salah satunya adalah           PT. Akal Cahaya Media (ACM). PT. ACM adalah perusahaan yang bergerak dalam bidang produksi dan jasa. Salah satu barang yang sudah diproduksi adalah Peta Wisata Belanja Bandung (PWBB). Peta ini diharapkan dapat memberikan banyak manfaat untuk wisatawan. Selain memberikan informasi tempat-tempat wisata, PWBB ini juga menjadi sarana bagi  wisatawan juga lebih menghemat waktu berlibur mereka. Oleh karena itu, penulis mengangkat tema  “Fungsi Peta yang diproduksi PT.ACM sebagai sumber informasi wisatawan”.  Selama pelaksanaan PKL, penulis ditempatkan sebagai staf sirkulasi majalah Karir-Up dan PWBB. Untuk penulisan Tugas Akhir ini, penulis lebih menitikberatkan untuk membahas proses produksi PWBB. Menurut penulis, PWBB memiliki peranan yang sangat penting untuk  membantu wisatawan. Seperti yang sudah penulis jelaskan sebelumnya, selain sebagai sumber informasi tempat-tempat umum, PWBB mempunyai ciri khas yang berbeda, yaitu PWBB lebih memfokuskan informasi tempat-tempat wisata dan belanja. Selain didistribusikan ke tempat-tempat yang banyak dikunjungi wisatawan dan perusahaan-perusahaan yang bekerjasama dengan PT. ACM, PWBB juga didistribsikan ke tempat-tempat transportasi umum.",Bahasa Jepang
48,ANALISIS GAIRAIGO DALAM BLOG KULINER JEPANG 日本料理ブログでの外国語分析,"Skripsi ini berjudul “Analisis Gairaigo Dalam Blog Kuliner Jepang”. Skripsi ini berisi rangkaian analisis proses pembentukan kata dan jenis gairaigo dalam blog kuliner Jepang. Skripsi ini bertujuan untuk mendeskripsikan proses pembentukan kata serta nemenukan jenis gairaigo yang terdapat pada blog https://do-anything.net/ di bidang kuliner. Dalam menganalisis permasalahan yang muncul, penulis menggunakan metode analisis deskriptif dengan metode pengumpulan data yang digunakan adalah metode simak dengan teknik simak bebas libat cakap yaitu penulis hanya menyimak dan mencatat gairaigo di bidang kuliner yang muncul pada blog tersebut. Sedangkan metode analisis data yang digunakan penulis adalah metode padan yang digunakan adalah metode translasional dengan alat penentu langue lain. Simpulan yang diperoleh dari penulisan skripsi ini ialah terdapat empat proses pembentukan kata yang dialami gairaigo di bidang kuliner, yaitu afiksasi, penggabungan/compounding, pemenggalan/clipping dan peminjaman/borrowing. Serta terdapat 111 data yang termasuk ke dalam empat jenis gairaigo yaitu penyingkatan kata dari bahasa asing sebanyak 5 data, penambahan sufiks bahasa Jepang pada morfem bahasa asing sebanyak 3 data, penggabungan sebanyak 51 data, dan gairaigo yang diserap langsung sebanyak 52 data.",Bahasa Jepang
190,TINDAK TUTUR EKSPRESIF MENGELUH DALAM ANIME TANAKA KUN WA ITSUMO KEDARUGE (Kajian Pragmatik) 『アニメ「田中くんはいつもけだるげ」における不満表現的な発話行為』(語用論研究),"Bahasa digunakan untuk berkomunikasi dengan sesama manusia di muka bumi ini, dengan bahasa kita dapat mengerti apa yang orang lain ingin sampaikan kepada kita baik dengan bahasa lisan, tulisan, formal maupun informal. Dengan adanya bahasa kita melakukan suatu tindakan untuk menyampaikan bahasa tersebut kepada mitra tutur atau yang sering disebut dengan lawan bicara kita agar dapat menangkap maksud dari apa yang kita sampaikan atau kita tuturkan. Dalam bahasa terdapat tindak tutur, tindak tutur merupakan bagian dari pada ilmu pragmatik. Tindak tutur merupakan pengujaran kalimat untuk menyatakan agar suatu maksud dari pembicara diketahui oleh lawan bicara. Dalam tindak tutur sendiri terdapat tiga bagian utama, yaitu lokusi, ilokusi dan perlokusi. Masing-masing dari tiga pilar utama tersebut memiliki fungsi tersendiri dalam melakukan suatu tuturan agar suatu tuturan dapat menjadi tuturan yang mudah dimengerti oleh lawan bicara. Penelitian ini bertujuan untuk memaparkan bentuk-bentuk tindak tutur beserta strategi mengeluh yang digunakan dalam sebuah karya animasi jepang. Penelitian ini menggunakan metode deskriptif kualitatif dengan meneliti tuturan-tuturan yang terjadi dalam data. Data yang digunakan oleh peneliti diperoleh dari anime yang berjudul Tanaka kun wa Itsumo Kedaruge dimana dalam anime tersebut terdapat banyak tuturan keluhan yang menjadi sumber penelitian. Analisis data dilakukan dengan mengklasifikasi bentuk tindak tutur serta strategi mengeluh yang digunakan menggunakan teori yang telah ada. Hasil penelitian ditemukan bentuk tindak tutur sebanyak 54 data dengan bentuk tindak tutur langsung dengan sub kategori kalimat berita (declarative) sebanyak 32 data, kalimat tanya (interrogative) sebanyak 5 data. bentuk tindak tutur tidak langsung sebanyak 17 data, Data keluhan ditemukan 54 data dengan keluhan implisit dengan sub kategori isyarat (hint) sebanyak 20 data, ungkapan kekesalan/ketidaksetujuan dengan sub kategori kekesalan (nance) sebanyak 22 data, konsekuensi yang menyakitkan (ill consequences) sebanyak 9 data, tuduhan dengan sub kategori tuduhan langsung (direct accusation) sebanyak 1 data, menyalahkan secara eksplisit (sikap) explicit blame (behavior) sebanyak 2 data.",Bahasa Jepang
291,PROSES SELEKSI PEMAGANGAN PT MULYA MEISOU BANDUNG PT. Mulya Meisou バンドンインターシップ選択プロセス。,"Laporan ini disusun berdasarkan hasil dari Praktik Kerja sehari-hari di PT. Mulya Meisou Bandung. Penulis bekerja dibagian staff pada bagian marketing. Pada Laporan Tugas Akhir ini, penulis mengangkat tema “PROSES SELEKSI PEMAGANGAN PT. MULYA MEISOU BANDUNG.”. Dalam teknik penyusunan laporan, penulis menggunakan metode dekriptif, yaitu metode yang menggambarkan susunan yang sistematis secara aktual, faktual dan sistematik kepada pembaca. Penulis juga melakukan pengamatan langsung dilapangan, mengumpulkan data perusahaan dengan cara mewawancarai salah satu staff PT. Mulya Meisou Bandung terkait dengan tema laporan. Selama bekerja penulis bertugas dan bertanggung jawab atas berkas-berkas pemagang dan mempromosikan program pemagangan yang ditawarkan oleh perusahaan. Manfaat dari Tugas Akkhir ini adalah penulis mengetahui bagaimana alur pendaftaran dan cara perusahaan merekrut para magang yang baru.",Bahasa Jepang
481,STRATEGI PROMOSI PARIWISATA YANG TEPAT BAGI WISATAWAN JEPANG,"Praktik Kerja Lapangan adalah salah satu syarat akademik dalam menyelesaikan Pendidikan Diploma III Program Studi Bahasa Jepang pada Fakultas Bahasa Universitas Widyatama. Penulis melaksanakan Praktik Kerja Lapangan di Dinas Pariwisata dan Kebudayaan Provinsi Jawa Barat, terhitung dari tanggal 21 Desember 2015 sampai dengan 29 Januari 2016. Dinas Pariwisata dan Kebudayaan Provinsi Jawa Barat berlokasi di JL.L.L.R.E.Martadinata No.209, Bandung. Tujuan dari Praktik Kerja Lapangan ini adalah untuk mengetahui bagaimana kegiatan promosi pariwisata yang dilakukan oleh Dinas Pariwisata dan Kebudayaan Provinsi Jawa Barat dalam menarik kunjungan wisatawan untuk berwisata ke Jawa Barat. Metode yang digunakan dalam Tugas Akhir ini adalah metode deskriptif, yang menggambarkan susunan secara sistematis, aktual dan cermat. Penulis melakukan pengamatan langsung di lapangan, mengumpulkan data dari perusahaan yang bersangkutan dan melakukan wawancara langsung dengan staf dan juga kepala Bidang Pemasaran Dinas Pariwisata dan Kebudayaan Provinsi Jawa Barat. Selama melaksanakan praktik kerja, penulis ditempatkan di bagian promosi. Penulis melakukan kegiatan mengevaluasi data, membuat artikel, menginput hal – hal yang berkaitan dengan kepariwisataan seperti nama Dinas – Dinas Pariwisata di Jawa Barat, membuat daftar hotel, daftar tempat pariwisata dan biro travel yang ada di Bandung dan sekitarnya. Selain itu, penulis juga melakukan kunjungan ke Monumen Perjuangan (Monju). Promosi pariwisata yang dilakukan Dinas Pariwisata dan Kebudayaan Provinsi Jawa Barat antara lain dengan mengadakan event, keikutsertaan event, promosi melalui media cetak & elektronik, media luar ruang, Tourist Information Center (TIC), melakukan kerjasama, dan membentuk badan promosi pariwisata. Beberapa permasalahan dalam menarik kunjungan wisatawan Jepang antara lain adalah informasi yang kurang tersedia, kurangnya pemandu wisatawan Jepang, infrastruktur yang kurang memadai, masalah kebersihan, keberagaman atraksi, segi kuliner dan transportasi yang kurang menunjang. Laporan ini diharapkan dapat memberikan informasi kepada mahasiswa Universitas Widyatama yang tertarik dengan dunia kepariwisataan dan kedepannya diharapkan bisa digunakan sebagai data informasi untuk Dinas Pariwisata dan Kebudayaan Provinsi Jawa Barat .",Bahasa Jepang
724,PERANAN WISATA EDUKASI HASMILK KOPERASI PETERNAK SAPI (KPS) GUNUNG GEDE KOPERASI PETERNAK SAPI (KPS) GUNUNG GEDE酪農家の観光地 の教育現場としての役目,"Pendidikan merupakan hal yang sangat penting di dalam kehidupan. Penulis pikir selama masih hidup manusia akan terus belajar. Belajar pun setiap harinya tidak harus dilakukan di dalam ruang kelas saja, namun juga bias dilakukan di luar sekolah dan melalui pengalaman sehari-hari. Salah satu tempat yang mengadakan pendidikan lapangan adalah Wisata Edukasi Hasmilk milik Koperasi Peternak Sapi (KPS) Gunung Gede yang berada di Sukabumi. Penulis melakukan praktik kerja lapangan di perusahaan tersebut dari tanggal 7 Maret sampai 2 April 2011. Berdasarkan pengalaman tersebut, maka penulis menyusun laporan berdasarkan peranan wisata pendidikan lapangan pengusaha susu KPS Gunung Gede dengan mengangkat tema “Peranan Wisata Edukasi Hasmilk Koperasi Peternak Sapi (KPS) Gunung Gede”. Di perusahaan susu tersebut, sapi-sapi dipelihara, dimana susu diproduksi, adalah merupakan hal yang tidak biasa dilihat oleh anak-anak di perkotaan. Menjadikannya sebuah tempat wisata merupakan pemikiran yang baik. Disana tidak hanya menjual berbagai macam produk dari perusahaan kepada pengunjung yang datang saja, tapi juga memberikan penjelasan tentang cara-cara pemeliharaan sapi, cara-cara pembuatan produk dari perusahaan susu dan berbagai informasi lainnya. Informasi disampaikan dengan cara yang sederhana dan mudah dimengerti, sehingga pengunjung yang sebagian besar merupakan anak-anak bisa belajar dengan menyenangkan sambil bermain. Penulis melakukan kerja praktik lapangan sebagai pemandu (guide), dengan tugas utama memandu dan memberikan penjelasan kepada anak-anak. Merupakan pekerjaan yang menarik dan menyenangkan. Pendidikan seperti ini sangatlah bermanfaat. Anak-anak pun selagi bermain bisa mendapatkan pengetahuan dan hal-hal dalam bermasyarakat lebih luas lagi. Anak-anak yang selalu ingin tahu hal-hal di sekitarnya akan memiliki keinginan untuk belajar lebih giat dan berusaha lebih keras dalam menjaga alam. Maka dari itu, jika semakin banyak tempat wisata pendidikan tentu akan lebih baik. Penulis menjadi lebih banyak belajar bermacam-macam hal dari praktik singkat ini, dan akan lebih memberikan manfaat untuk dunia kerja yang sesungguhnya.",Bahasa Jepang
783,PERANAN PENGUASAAN BAHASA KEDUA DALAM PENGEMBANGAN DIRI 自己啓発として第二言語のマスターする役割,"Praktik Kerja Lapangan adalah salah satu syarat dalam menyelesaikan Pendidikan Program Diploma III Program Studi Bahasa Jepang pada Fakultas Bahasa Universitas Widyatama. Tujuan dari Praktik Kerja Lapangan adalah agar setiap mahasiswa dapat mempraktikan ilmu yang didapat selama belajar di bangku perkuliahan. Hasil yang diperoleh selama melaksanakan Praktik Kerja tersebut penulis tuangkan ke dalam tulisan yang berbentuk laporan. Pelaksanaan Praktik Kerja penulis laksanakan selama kurang lebih 100 jam sejak tanggal 16 Pebruari 2011 sampai dengan 25 Maret 2011 di LKP CITRA SARANA BAHASA DAN INFORMATIKA (LKP CSBI) yang beralamat di Jl. Pahlawan No. 28 Bandung, Jawa Barat Telp/Fax. 022.7201972 / 022.7230424. LKP CSBI merupakan tempat kursus yang memberikan kesempatan bagi setiap orang untuk lebih mengembangkan diri mereka dengan cara mengikuti salah satu program pelatihan yang mereka adakan. Selama melaksanakan Praktik Kerja penulis ditempatkan sebagai asisten pengajar yang tugasnya antara lain mengetahui Job Description sebagai pengajar di CSBI, mempelajari biodata siswa-siswi dan tujuan siswa dalam mengikuti bimbingan belajar, pembelajaran cara membuat silabus dan kurikulum, mengamati tata cara pembimbing dalam memberikan pelajaran, praktik mengajar kepada siswa siswi dengan bimbingan sensei (pengajar resmi) CSBI, pembelajaran cara membuat soal ujian Bahasa Jepang. Selama melaksanakan Praktik Kerja penulis mendapatkan banyak pengalaman berharga mengenai dunia kerja yang sesungguhnya dan dunia ajar mengajar. Penulis menyadari bahwa tugas seorang pengajar bukan hanya memberikan materi pembelajaran, akan tetapi juga harus dapat mendorong dan menyemangati muridnya untuk lebih tertarik dalam subjek yang mereka pelajari sehingga secara tidak langsung dapat mendorong keinginan mereka untuk lebih mengembangkan diri. Penulis juga menyadari manfaat pembelajaran bahasa asing untuk berbagai macam lapisan masyarakat. Bahasa kedua adalah faktor penunjang untuk meningkatkan nilai jual atau nilai saing (bargaining point) kita di era globalisasi sekarang ini. Orang-orang yang mempelajari Bahasa kedua pun cenderung lebih kreatif dan lebih lihai dalam memecahkan soal-soal yang kompleks. Penguasaan bahasa kedua pun sangat berperan di dalam dunia kerja, melalui pengembangkan tingkat pengetahuan bahasa asing. Penulis berharap pengalaman yang penulis peroleh selama melaksanakan Praktik Kerja Lapangan dapat bermanfaat bagi penulis khususnya dan bagi pembaca pada umumnya.",Bahasa Jepang
859,PROSES PENGOLAHAN ARTIKEL DI SITUS JAPANESE STATION,"Saat ini, Jepang adalah salah satu negara yang budayanya memiliki banyak peminat dari berbagai negara di seluruh dunia. Indonesia adalah salah satu dari banyak negara tersebut, di mana ada banyak masyarakatnya yang menyukai budaya Jepang dan jumlahnya terus meningkat. Minat akan berita tentang Jepang dan budayanya pun semakin meningkat setiap harinya. Seiring berkembangnya teknologi, kini masyarakat bisa dengan mudah mencari berita ataupun informasi dari internet. Kini media massa digital dapat dijumpai dalam bentuk website, blog, dan lain sebagainya. Bahkan ada juga yang membagikan berita atau informasi melalui media sosial seperti Facebook, Twitter, Instagram, dan lainnya. Hal ini dilakukan agar masyarakat dapat dengan lebih mudah dan cepat mengakses informasi secara aktual. Pada laporan Tugas Akhir ini, penulis mengangkat judul “Proses Pengolahan Artikel di Situs Japanese Station”. Dalam teknik penyusunan laporan, penulis menggunakan metode deskriptif yaitu menggambarkan susunan yang sistematis secara aktual dan faktual. Penulis juga melakukan pengamatan langsung di lapangan, mengumpulkan data, dan berdiskusi dengan staf Japanese Station terkait dengan penulisan laporan. Dari hasil Praktik Kerja Lapangan, penulis menyimpulkan bahwa Meta Keyword (SEO), Tags, Internal Link dan External Link adalah poin-poin yang sangat penting dalam pembuatan suatu artikel di website. Selain isi pembahasan dari artikel itu sendiri, judul, summary, dan gambar juga harus dibuat semenarik mungkin untuk menarik minat pembaca. Dalam proses pengolahan artikel, diperlukan ketelitian dan perhatian terhadap detail kecil agar terhindar dari kesalahan.",Bahasa Jepang
966,Rencana Penataan Pembangunan Kawasan Punclut Kota Bandung,"Bandung terkenal dengan tempat pariwisata dan juga terdapat banyak gunung yang indah, salah satunya adalah kawasan Punclut, sampai saat ini kawasan punclut dikenal dengan kawasan rekreasai wisata alami, pada hari minggu dari pagi sampai sore banyak orang yang dating untuk rekreasi, kawasan inipun menjadi ramai dan dikenal banyak orang. Karena itu kawasan Punclut untuk dijadikan sebagai kawasan pariwisata tidaklah mudah, banyak kendala yang akan menjadi perdebatan diantaranya adalah kawasan Punclut adalah kawasan resapan air, hampir 60 % lebih air berasal dari kawasan tersebut. Kemungkinan akan terjadi kerusakan pengikisan tanah dan pergesaran tanah sehingga dapat menimbulkan bencana alam, akan tetapi kalau dibiarkan begitu saja akan disayangkan mungkin akan menjadi sia-sia. Laporan Tugas Akhir ini berisi sebagai saran pemerintah kota Bandung, diharapkan memiliki pemikiran yang lebih mendalam mengenai rencana penataan dan pembangunan Kawasan Punclut Kota Bandung sebagai tempat Wisata.",Bahasa Jepang
1002,ANALISIS MAJAS SINDIRAN TERHADAP PANDANGAN KEHIDUPAN DI MASYARAKAT SOSIAL DARI LIRIK LAGU “INOCHI NI KIRAWARETEIRU” (Kajian Semantik) 『命に嫌われている』の歌詞から、社会における社会的県会に対するの観点に対して 風刺分析 （意味論の研究）,"Majas sindiran adalah gaya bahasa yang digunakan untuk menyindir seseorang atau suatu hal. Pada suatu karya sastra biasanya menggunakan majas untuk memanfaatkan kekayaan bahasa sehingga membuat suatu karya sastra semakin hidup. Misalnya sebuah lagu bukan hanya dinikmati nada atau iramanya saja, tetapi bisa menjadi sarana untuk menyampaikan pesan pada pendengarnya. Sehingga majas sindiran pada lagu digunakan penulis lagu untuk menyampaikan kritik atau pun saran dengan cara menyindir seseorang atau suatu keadaan lewat lirik-lirik lagu yang disampaikannya. Penelitian ini bertujuan untuk memaparkan jenis-jenis majas sindiran apa saja yang digunakan dan mengetahui apa makna dari penggunaan majas sindiran pada suatu lirik dalam lagu. Penelitian ini menggunakan metode deskriptif kualitatif dengan menggambarkan situasi dan analisis data. Data diperoleh dari lagu Jepang yaitu Inochi ni Kirawareteiru, karena lagu ini sempat viral di media sosial yang berhubungan dengan anime/manga. Analisis data dilakukan dengan mengidentifikasi makna setiap sindiran yang ditemukan secara semantik dan menyesuaikan datanya menurut Chaer, jenis majas sindiran dari Waridah, Fitri, dan Ratna, sedangkan pengertian majas sindiran dari Aminuddin, Keraf, dan Waluyo. Dari penelitian ditemukan 32 data ungkapan sindiran yang terdiri dari 5 majas sindiran, yaitu 5 majas ironi, 5 majas sinisme, 4 majas sarkasme, dan majas sindiran yang paling banyak yaitu 9 majas satire dan 9 majas innuendo.",Bahasa Jepang
