id,title,abstract,study_program
146,KAMPANYE PEDULI PENGARUH NEGATIF GADGET TERHADAP ANAK,"Kampanye tentang dampak negatif gadget ini diperoleh dari fenomena sehari – hari masyarakat modern. Hal ini bertujuan untuk memberi tahu kepada Orang Tua – Orang Tua tentang dampak negatif penggunaan gadget secara tepat. Kota yang ditargetkan pada proyek akhir perancangan visual kampanye ini adalah Kota Bandung, sebuah kota di Indonesia. Perancangan visual kampanye ini mengacu kepada konsep visual yang beda, sedikit bermain – main dengan visual yang dihasilkan. Implementasi konsep menjadi desain sebagai pemecahan permasalahan, digagas menggunakan pendekatan bidang desain komunikasi visual (spesifik pada ilmu desain grafis). Tahapannya meliputi sketsa, menentukan warna, jenis huruf (typeface) sebagai pendukung pesan verbal, tata letak (layout), konsep dan strategi komunikasi, menetapkan media, gaya dan teknis pengerjaan, dan terakhir merinci aspek produksi (faktor pembiayaan atau budgeting), yang kesemuanya harus direncanakan seksama. Pemilihan material, penentuan ukuran media aplikasi visual kampanye, penjabaran teknik, dan pembahasan biaya produksi, menjadi bagian cakupan teknis pekerjaan yang dilalui dalam pembuatan desain. Hasil akhir terpenting adalah terwujudnya visualisasi karya desain kampanye secara nyata dan bentuk-bentuk media berbasis komunikasi visual.",Desain dan Komunikasi Visual
179,PERANCANGAN MEDIA KAMPANYE KESETARAAN GENDER BAGI WANITA DI LINGKUNGAN KERJA,"YASMINE BERTIANY, 0917103006, 2021. “Perancangan Media Kampanye Kesetaraan Gender bagi Pekerja Wanita di Lingkungan Kerja” (Studi kasus mengenai persepsi masyarakat tentang stereotip gender yang membatasi pekerja wanita dalam mengembangkan karir profesinya). Perancangan ini mengemukakan tentang bagaimana persepsi masyarakat yang menimbulkan kesenjangan gender dan menjadi masalah yang banyak merugikan wanita, khususnya dalam dunia kerja atau profesi. Perancangan ini menggunakan metode kulitatif dengan informasi yang diperoleh dari informan dan didukung data dari pemberi pekerjaan. Metode pengumpulan data yang digunakan yaitu kuisioner, analisis media dan studi kepustakaan. Hasil dari pengolahan data berupa konsep kearah yang lebih baik, yaitu meluruskan persepsi masyarakat yang sebelumnya keliru, khususnya bagi pekerja wanita yang dibatasi dengan stereotip gender. Konsep tersebut dikomunikasikan dengan media kampanye berbentuk video motion graphic, bentujuan untuk memotivasi wanita agar lebih percaya diri dan berambisi untuk menggapai tujuan hidupnya",Desain dan Komunikasi Visual
193,PERANCANGAN ULANG BRAND IDENTITY DAN KEMASAN NOIR SOAP,"Perancangan ulang Brand Identity dan kemasan ini bertujuan untuk me- rebranding desain atau merek yang sudah ada menjadi suatu perubahan yang menghasilkan desain yang tepat sesuai teori yang didapat, yang di harapkan dapat menjadi acuan dan pembelajaran mengenai Branding serta Packaging untuk suatu produk agar diminati banyak konsumen. Perancangan ini tertuju pada acuan teori desain grafis, komunikasi visual, komunikasi pada media sosial, brand identity, dan teori teori mengenai pembahasan desain atau logo. Berdasarkan survey dan observasi pada client maka dapat disimpulkan bahwa perlu adanya perubahan dari segi warna, logo, packaging yang dapat di sesuaikan oleh pilihan client itu sendiri. Dan atas persetujuan client pada perubahan pada brand nya maka perancangan akan dirancang sesuai dengan kententuan. Pada perancangan ini di buat menggunakan softwere salah satu nya Adobe Illustrator dan Adobe Photoshop. Selain peracngan pada desain logo serta packaging maka ada perancangan pada media promosi yang menggunakan feeds di media sosial yaitu Instagram menyesuaikan dengan ke efektifitas pada zaman sekarang.",Desain dan Komunikasi Visual
229,MEMPROMOSIKAN BISNIS KULINER DENGAN MULTIMEDIA,"D’CUYS (Dapur Cartil Urban Yard Scape) merupakan suatu perusahaan yang berkembang dan bergerak dalam bidang kuliner. Perusahaan ini membutuhkan sebuah media informasi beserta promosi sebagai upaya untuk meningkatkan citra perusahaan dan nilai penjualan agar lebih dikenal oleh masyarakat maupun wisatawan yang datang ke kota Bandung melalui media video company profile. Perancangan video company profile merupakan sebuah media penyampaian informasi secara visual dengan video yang menarik sehingga menambah daya tarik masyarakat tentang D’CUYS (Dapur Cartil Urban Yard Scape). Perancangan ini diharapkan menjadi solusi untuk mengenalkan profil perusahaan tentang informasi perusahaan, jasa, layanan dan produk yang dihasilkan.",Desain dan Komunikasi Visual
294,Kampanye Program Pemilahan Sampah PD Kebersihan,"Kota Bandung sebagai salah satu kota yang padat penduduknya, sangat rentan dengan masalah sampah yang bertumpuk. Masalah sampah kota Bandung menghadapi masa puncaknya ketika terjadi musibah sampah longsor di TPA Leuwigajah yang menelan banyak korban jiwa, sehingga menempatkan masalah sampah ini sebagai masalah utama yang harus segera diselesaikan. Salah satu penyebabnya adalah sistem pengelolaan sampah sudah tidak memungkinkan lagi, sehingga PD Kebersihan memerlukan sistem pengelolaan yang tepat yaitu dengan sistem pengelolaan sampah daur ulang dan pengomposan. Caranya dengan membuat program yang mengikutsertakan kedua sistem tersebut kedalam satu sistem yaitu sistem pemilahan sampah. Untuk itu maka diperlukan sebuah usaha sosialisasi kepada masyarakat tentang pengelolaan sampah yang baik dan benar demi tercapainya program yang dicanangkan PD kebersihan ini. Usaha sosialisasi program pengelolaan sampah ini dikerjakan dalam bentuk kampanye program pemilahan sampah.",Desain dan Komunikasi Visual
347,COMPANY PROFILE MEDIA BRAND PRODUCT MGSPORT,"Pengembangan multimedia berjalan sangat pesat seiring dengan perkembangan teknologi komputer. Multimedia banyak digunakan dalam dunia bisnis, contohnya untuk periklanan, pendidikan, pembuatan company profile, media presentasi dan lain-lain. Teknologi multimedia merupakan salah satu teknologi yang mengtergrasikan komputer dengan berbagai media interaksi untuk menghasilkan suatu video company profile yang interaktif dan menarik. Penyusunan company profile mampu membuat suatu terobosan baru dalam menciptakan dinamika kesamaan data dan informasi dengan cara berbeda, bukan hanya video tapi juga dengan teks tracking. Penerapan company profile pada perusahaan banyak dilakukan untuk dapat membantu dalam mempromikan dalam bentuk video company profile. Adapun tujuan pembuatan company profile. Company profile berbentuk video ini adalah untuk membantu perusahaan dalam mengikuti event tertentu yang diinginkan perusahaan dimana company profile bisa juga digunakan sebagai media atau alat konsumen untuk mengetahui informasi tentang perusahaan. Dengan adanya company profile ini diharapkan dapat membantu perusahaan Mgsport bersaing dengan perusahaan lain yang sejenis untuk mendapatkan konsumen.",Desain dan Komunikasi Visual
470,PERANCANGAN BOARD GAME GENRE ESCAPE ROOM BERTEMAKAN PENDAKIAN GUNUNG DI PULAU JAWA,"Indonesia merupakan negara tropis yang memiliki banyak pegunungan dengan karakteristik yang berbeda yang tersebar di seluruh nusantara dengan berbagai pilihan jalur pendakian serta keadaan alam yang berbeda. Indonesia memiliki beberapa pegunungan yang menjadi favorit para pendaki gunung diantaranya adalah Gunung Salak. Namun sebelum melakukan pendakian para pendaki harus memiliki berbagai pengetahuan tentang jalur pendakian, keadaan alam, perlengkapan pendakian, serta keterampilan yang harus dimiliki. Perancangan board game genre escape room bertemakan pendakian gunung di pulau Jawa ini merupakan media alternatif untuk penyampaikan informasi tentang pendakian gunung secara menarik dan informatif.",Desain dan Komunikasi Visual
502,DESAIN GAMEPLAY GAME “PKL RACER”,"Game di zaman serba canggih ini sudah menjadi sebuah kebutuhan yang tidak bisa di anggap remeh lagi. Karena dengan kemajuan teknologi ini perkembangan dan pemain game semakin bertambah banyak. Apalagi sekarang bermain games bisa menjadi lebih praktis dengan adanya Smartphone. Tidak perlu memakai console, cukup memakai HP pintar game sudah bisa dimainkan. Oleh Karena itulah ketertarikan untuk membuat tugas akhir games ini.Dengan mengambil tema budaya sosial Indonesia untuk bisa lebih memperkenalkan lagi budaya yang ada di Indonesia. Dan budayanya adalah cara berdagang para pedagang keliling yang biasa di sebut kaki lima. Gamesnya sendiri adalah bergenre balapan karena para pedagang kaki lima yang tidak mempunyai lapak untuk berjualan ini harus selalu berkeliling dan peka terhadap event atau festival yang ada di sekitarnya agar bisa sampai tepat waktu dan mengambil tempat yang strategis untuk jualannya. Dari sinilah ide dasar mengapa games ini bergenre balapan.",Desain dan Komunikasi Visual
547,BRAND IDENTITY KSATRIA GYM BANDUNG,"Fitnes center merupakan pusat kebugaran yang melakukan kegiatan dalam ruangan dengan menawarkan kegiatan olahraga dari yang tidak menggunakan alat sampai yang menggunakan alat-alat mahal dan canggil diantaranya bertujuan berprestasi. Pengantar karya Proyek Akhir Grafis ini berjudul “Brand Identity Ksatria GYM”. . Adapun permasalahan yang dikaji adalah bagaimana membuat rancang Brand identity yang tepat secara konsep, desain, dan ide kreatif sehingga informasi pesan tersampaikan secara komunikatif. Brand identity merupakan suatu identitas yang merupakan representasi dari visi-misi perusahaan tersebut dan Ksatria gym sendiri tidak mempunyai Brand Identity yang dapat di sampaikan kepada masyarakat, karena peran Brand identity merupakan penunjang utama untuk mengenalkan tempat tersebut kepada lingkungan masyarakat luas. Ksatria gym menyadari dibutuhkan media visual untuk proses pengenalan, program untuk mendukung visi, misi. Kesimpulannya dengan Branding ini pada akhirnya dapat terus memupuk pandangan positif, khususnya pada para konsumen agar mereka mendapat pelayanan yang lebih baik dengan membangun kepercayaan dan kesetiaan mereka. Branding ini akan terus menerus dibentuk selama Ksatria gym berdiri karena potensi yang dimiliki gym ini untuk dijadikan perusahaan besar dan mampu bersain dengan perusahaan sejenis. Media Branding yang dibuat antara lain : disain logo, seragam pegawai, kartu nama, sign system, handuk, tas, singlet, posters, id card pegawai, kartu member, dan juga berupa media informasi seperti banner, papan nama atau neon sign.",Desain dan Komunikasi Visual
569,PERANCANGAN BUKU ILUSTRASI PANDUAN TOURING MOTOR,"With a lack of understanding of the way Touring activities can lead to negative events such as falling, separated from entourage, with this book is a guide book especially for lovers of amateur Touring. The almost average does not understand what it is Touring, which can help on how touring, safety ridding, and so on. This book is also useful for public motorists to be able to understand how to dress properly to be safe on the road. hopefully by reading this book can provide smooth and safety when doing Touring activities or driving and reduce the risk of accidents.",Desain dan Komunikasi Visual
601,PERANCANGAN BOARD GAME MENGGUNAKAN TOKOH DARI CERITA RAKYAT INDONESIA DENGAN GAYA ILUSTRASI MANGA,"Generasi muda saat ini cenderung kurang mengenal cerita rakyat. Selain karena cerita rakyat yang kurang populer juga karena kurangnya materi dalam bahan ajar maupun media pembelajaran. Untuk itulah diperlukan media untuk mengenalkan Cerita Rakyat yang baru ini kepada remaja. Media board game dipilih karena sarat visual sehingga proses pengenalan menjadi lebih efektif dengan menggunakan ilustrasi Manga yang sedang popular dikalangan remaja. Adanya unsur kompetitif dan interaktif antar pemain, disertai elemen strategi, membuat penyampaian materi lebih menyenangkan.",Desain dan Komunikasi Visual
606,PERANCANGAN KAMPANYE EDUKASI PELECEHAN SEKSUAL UNTUK ORGANISASI SAMAHITA BANDUNG,"Perancangan ini dirancang untuk menghasilkan sebuah kampanye edukasi bertema pelecehan seksual, yang diharapkan dapat mengedukasi dan memberikan peringatan kepada target audiens mengenai jenis – jenis pelecehan seksual yang tidak banyak disadari oleh masyarakat. Perancangan kampanye ini didasari oleh teori desain grafis, komunikasi visual, komunikasi dalam media sosial, kampanye, ilustrasi, dan teori – teori mengenai pelecehan seksual. Berdasarkan observasi mengenai kebutuhan target audiens, kemudian ditentukan berbagai konten yang dapat memenuhi kebutuhan target audiens sehingga informasi dan pesan lebih mudah diterima oleh target audiens. Seluruh perancangan dari mulai sketsa hingga hasil perancangan, diolah dengan menggunakan software pengolah desain yaitu Adobe Photoshop dan Adobe Illustrator. Hasil dari perancangan ini yaitu berupa postingan feeds di media sosial Instagram, disesuaikan dengan keadaan dimana target audiens sering menggunakan media sosial Instagram untuk berkomunikasi sehari – hari.",Desain dan Komunikasi Visual
608,PERANCANGAN USER INTERFACE WEBSITE CGV CINEMA UNTUK BOOKING TIKET BIOSKOP,"Perkembangan dunia teknologi dan komunikasi pada saat ini sudah mengalami kemajuan yang sangat pesat. Dengan pesatnya perkembangan media digital saat ini, segala sesuatu dengan mudah dapat dilakukan hanya dengan bermodalkan Smartphone. Dengan berkembangnya teknologi, segala sesuatu dapat dilakukan dari jarak jauh dan waktu yang cepat juga biaya yang relatif sangat murah sehingga cukup banyak perusahaan yang memanfaatkan teknologi untuk menciptakan inovasi-inovasi dalam upaya meningkatkan penjualan produk nya. Berbagai macam transaksi jual-beli dapat dilakukan, salah satu nya adalah pembelian kopi. Maraknya Coffee Shop di kalangan millenials saat ini membuat cukup masif juga perkembangan dan inovasi para pebisnis kopi. Maka dari itu, beberapa pebisnis kopi memutuskan untuk melakukan inovasi guna menjangkau customer dengan lebih cepat dan mudah.",Desain dan Komunikasi Visual
638,PERANCANGAN VIDEO COMPANY PROFILE SEBAGAI MEDIA PROMOSI DAN INFORMASI PT BANDUNG CIPTA PERMAI,"Bisnis properti di Indonesia dari tahun ke tahun menunjukkan perkembangan yang cukup signifikan. Daya minat masyarakat Indonesia untuk berinvestasi pada bisnis property mulai tampak sejak awal tahun 1980-an sampai dengan pertengahan tahun 1990-an, Maraknya pembangunan perumahan maupun pembangunan yang lainnya dalam skala besar mengakibatkan kompetisi bisnis properti di Indonesia semakin ketat, sehingga pengembang berlomba-lomba membuat perencanaan proyek perumahan maupun pembangunan lainnya yang lebih menarik. company profile atau dalam bahasa indonesia dapat di artikan sebagai profil perusahaan dan sebaiknya didesain sesuai dengan misi dan visi bisnis dari perusahaan tersebut. Apapun jenis dan model desain sebuah company profile, pada dasarnya sebuah company profile harus bisa mengusung fungsi eksternal dengan menjadi media yang mempromosikan segala bentuk aktifitas dan produk perusahaan secara garis besar. Dalam pembuatan video company profile ini terdapat tahapan-tahapan kerja yang harus dilakukan untuk memudahkan perancang dalam merancang dan mengembangkan rancangan yaitu mengumpulkan data perusahaan, diskusi permasalahan, topik permasalahan, survey dan riset, storyline, script, storyboard, produksi, menganalisis data, lalu edit video, melakukan pengujian. Dan terakhir melakukan penyempurnaan Hasil dari perancangan video company profile ini berdurasi sekitar 5 menit. Dimana video company profile PT Bandung Cipta Permai di perkenalkan melalui media audio visual yang menyajikan informasi-informasi mengenai profil perusahaan seperti beridirinya perusahaan, visi misi pengalaman proyek dan perencanaan proyek perusahaan yang akan datang sehingga dapat di ketahui oleh semua orang termasuk perusahaan-perusahaan besar agar suatu saat bisa untuk bekerjasama dalam menjalankan beberapa proyek proyek properti baik itu perumahan, tempat wisata, dan lain-lain Dengan adanya company profile ini diharapkan dapat membantu perusahaan PT Bandung Cipta Permai untuk meningkatkan citra perusahaan dengan memberikan informasi secara lengkap dan jelas.",Desain dan Komunikasi Visual
