id,title,abstract,study_program
40,AUDIT IT GOVERNANCE DI UNIVERSITAS WIDYATAMA DENGAN MENGGUNAKAN FRAMEWORK COBIT PADA DOMAIN AQUISITION AND IMPLEMENTATION (AI),"Information Technology Governance (IT Governance) merupakan faktor penting bagi organisasi dalam memanfaatkan teknologi informasi. Adanya IT Governance akan memberikan jaminan bahwa pemanfaatan teknologi informasi sejalan dengan tujuan organisasi. Dalam membangun sebuah IT Governance, dapat diadopsi beberapa standar seperti ITIL, COSO, ISO27001, ISO38500 dan lain-lain. Penelitian ini menggunakan COBIT, dengan pertimbangan COBIT dibuat dengan menggunakan standar IT lain sebagai referensinya, sehingga keselarasan pengembangan IT dengan tujuan institusi relatif lebih terjamin. Pengembangan model IT Governance dimulai dengan menentukan critical success factor (CSF) dari sasaran IT institusi, pengukuran tingkat kematangan current IT Governance, analisis gap hingga analisa resiko untuk mengidentifikasi proses IT yang urgent untuk diimplementasikan. Pada bagian akhir diberikan rekomendasi perbaikan proses IT sesuai dengan maturity level-nya. Hasil penelitian ini adalah usulan model IT Governance yang diharapkan cukup sesuai bagi organisasi Universitas Widyatama. Domain AI pada COBIT berkaitan dengan implementasi solusi IT dan integrasinya dalam proses bisnis organisasi, juga meliputi perubahan dan perawatan yang dibutuhkan sistem yang sedang berjalan untuk memastikan daur hidup sistem tersebut tetap terjaga. Secara umum, untuk mencapai tingkat yang lebih baik organisasi perlu mendefinisikan (secara formal) dan mensosialisasikan kebijakan, prosedur serta standar yang dibutuhkan dalam pengelolaan informasi; mengelola dokumen pengoperasian setiap proses layanan IT; menjalankan fungsi pengawasan, pelaporan dan evaluasi proses, serta memfasilitasi knowledge sharing antar individu penanggung jawab proses sehingga diharapkan ketergantungan sistem IT terhadap individu dapat diperkecil.",Sistem Informasi
90,PENGUKURAN KAPABILITAS PADA IMPLEMENTASI APLIKASI HCIS DENGAN MODUL CURRICULUM VITAE BERDASARKAN KERANGKA KERJA COBIT 5 DENGAN (STUDI KASUS DI PT. DIRGANTARA INDONESIA),"Pemanfaatan teknologi informasi khususnya bagi perusahaan merupakan salah satu kunci pendukung dalam pencapaian tujuan bisnis. Kebutuhan akan informasi yang cepat dan tepat akan membantu dalam setiap proses bisnis yang berjalan. Salah satu pemanfaatan teknologi informasi yaitu pengelolaan Curriculum Vitae (CV) yang berfungsi mengembangkan kompetensi karyawan yang belum memenuhi kualifikasi baik dalam hal pengetahuan dan keterampilan. Human Capital Information System (HCIS) merupakan sebuah aplikasi pengelolaan CV yang ada di PT. Dirgantara Indonesia. Namun terdapat beberapa kendala yang mengangu dalam proses bisnisnya. Untuk mengatasi kendala yang terjadi maka diperlukan audit untuk menilai kapabilitas pada implementasi aplikasi HCIS. Standar audit yang digunakan adalah Control Objectives for Information and Related Technology (COBIT) 5. COBIT 5 merupakan framework yang komprehensif dan bersifat holistik sehingga sesuai dengan aplikasi HCIS. Domain COBIT 5 yang dipilih adalah domain Align, Plan and Organize (APO01, APO04, dan APO07) yang fokus pada mengelola kerangka manajemen IT, mengelola arsitektur perusahaan, dan mengelola sumber daya manusia. Hasilnya adalah capability level yang didapat untuk pada domain APO01 adalah level 3, yaitu established process dan level target yang ingin dicapai adalah 4 yaitu predictable process. Lalu capability level yang didapat untuk pada domain APO04 adalah level 4, yaitu predictable process dan level target yang ingin dicapai adalah 5 yaitu optimizing process. Selanjutnya capability level yang didapat untuk pada domain APO07 adalah level 3, yaitu established process dan level target yang ingin dicapai adalah 4 yaitu predictable process. Sehingga berdasarkan analisis gap perlu adanya peningkatan capability level dari kondisi existing dari sisi peningkatan aktivitas dengan rekomendasinya yaitu dibuatkanya kebijakan serta prosedur terkait aplikasi HCIS, pihak IT harus lebih sering berinovasi terkait fitur-fitur di aplikasi HCIS, perlu memikirkan untuk memanggil konsultan IT yang bergerak dalam masalah HCIS untuk membuat karyawan puas menggunakan HCIS.",Sistem Informasi
116,ANALISIS DAN PERANCANGAN SISTEM GUESTBOOK DI BANDUNG COMMAND CENTER,"Bandung Command Center, atau yang biasa disingkat BCC, merupakan pusat data dan pusat kendali (Control Room) kota Bandung. Bandung Command Center menginspirasi kota-kota lain di Indonesia untuk menjadi smart city. Bandung Command Center sering didatangi perwakilan-perwakilan kota, provinsi, atau negara lain yang berkunjung untuk studi banding atau mencontoh control room ini untuk diaplikasikan di wilayah mereka. Kedatangan para tamu ke Bandung Command Center sering membuat para operator yang bekerja disana kewalahan dalam mengelola tamu. Bandung Command Center memerlukan sebuah guest management system yang dapat mengatur dan menjadwalkan kedatangan tamu. Sistem GuestBook Berbasis Web di Bandung Command Center dibuat untuk mengelola reservasi kedatangan tamu, melakukan klasifikasi tamu yang hadir, mengelola data tamu, dan memberikan rekapitulasi laporan tamu yang hadir berdasarkan periode yang ditentukan pengguna. Analisis dan perancangan sistem GuestBook di Bandung Command Center dilakukan menggunakan metodologi pengembangan perangkat lunak berorientasi objek dan SDLC Waterfall. Sistem GuestBook di Bandung Command Center diimplementasi menggunakan framework Laravel.",Sistem Informasi
132,PENGEMBANGAN SISTEM APLIKASI TOUR AND TRAVEL STAR HOLIDAY BERBASIS WEB UNTUK PENINGKATAN LAYANAN,"Saat ini telah banyak dibangun sistem informasi yang bersifat real time dan online, yang memungkinkan seseorang dapat mengaksesnya darimana saja dan mendapatkan informasi terkini. Persaingan bisnis diberbagai sektor usaha didukung dengan perkembangan teknologi informasi yang sangat pesat. Star Holiday Tour and Travel merupakan sebuah perusahaan di Bandung yang bergerak di bidang travel. Struktur pengolahan data dan sistem informasi yang masih manual pada Star Holiday Tour and Travel membuat sistem berjalan menjadi tidak efektif, sehingga hal tersebut menimbulkan berbagai masalah. Masalah-masalah yang timbul antara lain pada sistem administrasinya. Masalah yang lain adalah jenis paket wisata yang ditawarkan, harga tiap paket, hingga laporan pemasukan dan pengeluaran yang membutuhkan data yang valid. Bisnis ini mememerlukan bantuan teknologi informasi yang tepat, karena usaha ini membutuhkan mobilitas yang tinggi, distribusi informasi yang cepat, pelayanan konsumen yang cepat, serta komunikasi antar cabang atau kota yang real time. Perangkat lunak ini merupakan perangkat lunak pemesanan paket wisata, yang dimana dalam perancangannnya perangkat lunak ini dibangun menggunakan databse MySQL dan PHP sebagai bahasa pemrogramannya. Didalam perangkat lunak pemesanan paket wisata ini pelanggan dapat melakukan pemesanan paket wisata berdasarkan paket wisata yang dipilih secara online. Setelah dilakukan pengujian sistem diketahui bahwa semua fungsi yang terdapat dalam perangkat lunak telah berjalan dengan baik seperti kelola data paket wisata, kelola data bus dan kelola data penginapan. Sehingga semua fitur yang disediakan telah dapat memudahkan pihak pelanggan maupun pengelola sistem.",Sistem Informasi
155,ANALISIS KINERJA HIEROS PHOTO MENGGUNAKAN METODE BALANCED SCORECARD,"Penelitian ini menggunakan konsep Balanced Scorcard sebagai alat ukur kinerja Hieros Photography yang merupakan sebuah perusahaan yang bergerak di bidang jasa wedding photography. Konsep kinerja dapat dilihat dari dua segi, yaitu kinerja pegawai dan kinerja organisasi. Kinerja pegawai adalah kinerja perseorangan dalam suatu organisasi. Sedangkan kinerja organisasi adalah totalitas hasil kerja yang dicapai suatu organisasi. Kinerja pegawai dan kinerja organisasi memiliki keterkaitan yang sangat erat demi tercapainya tujuan organisasi. Tercapai atau tidaknya tujuan organisasi tidak bisa dilepaskan dari sumber daya yang dimiliki oleh oraganisasi yang digerakkan atau dijalankan pegawai yang berperan aktif sebagai pelaku dalam upaya mencapai tujuan organisasi tersebut. Hieros Photography mengalami permasalahan fluktuasi penjualan dan profit karena faktor pemasaran dan internal perusahaan yang belum berjalan dengan optimal. Tujuan dilakukannya penelitian ini adalah untuk mengidentifikasi rancangan sistem pengukuran kinerja Hieros Photography dengan empat perspektif balanced scorecard yaitu perspektif keuangan, perspektif pelanggan, perspektif proses bisnis internal, serta perspektif pembelajaran dan pertumbuhan. Penelitian diawali dengan mengindetifikasi visi, misi, dan melakukan analisis balanced scorecard dan SWOT. Analisis kinerja balaced scorecard pada skripsi ini dibatasi sampai penentuan kinerja Hieros Photography. Data diperoleh dari pemilik, karyawan, serta pengguna jasa Hieros Photography melalui kuesioner. Kinerja Hieros Photography termasuk dalam kategori Sangat Sehat (AA).",Sistem Informasi
165,BUSINESS PROCESS REENGINEERING PADA PROSES PENGELOLAAN PROGRAM TRAINING DI PT. SWAMEDIA INFORMATIKA,"PT. Swamedia Informatika adalah salah satu perusahaan konsultan IT. Sebagai perusahaan swasta dengan jumlah karyawan terbatas, yaitu sekitar 110 orang, perusahaan ini telah berkembang dengan baik. Hal ini didukung oleh bentuk tanggung jawab perusahaan terhadap karyawannya dengan meningkatkan motivasi dan komitmen yang kuat untuk mengembangkan kemampuan dan pengetahuan karyawan melalui program pelatihan. Namun, sistem yang berjalan dalam proses mengelola program pelatihan di PT. Swamedia Informatika saat ini dianggap tidak efisien. Waktu yang dibutuhkan dalam proses mengelola program pelatihan adalah sekitar 2 minggu hingga 2 bulan. Akibat proses tersebut, antara lain, kegiatan pelatihan tidak sesuai dengan jadwal yang diusulkan, lembaga pelatihan yang tidak sesuai dengan kriteria, serta persiapan peralatan dan pelatihan yang tidak optimal. Dengan menerapkan rekayasa ulang proses bisnis (BPR) perusahaan diharapkan untuk menemukan metodologi terobosan yang akan merevolusi proses pengelolaan program pelatihan. Pada akhir proses rekayasa ulang proses bisnis atau BPR, entitas yang terlibat memiliki kesempatan untuk mengoptimalkan pekerjaannya dan mengurangi proses berulang yang dianggap berlebihan. Hasilnya akan jauh lebih efektif dan efisien karena dihabiskan dengan fokus pada strategi sehingga secara signifikan meningkatkan produktivitas. Oleh karena itu, dibuatlah tugas akhir yang berjudul ""Business Process Reengineering pada Proses Pengelolaan Program Training di PT. Swamedia Informatika"".",Sistem Informasi
187,PENGUKURAN TINGKAT KEMATANGAN SISTEM INFORMASI MENGGUNAKAN KERANGKA KERJA COBIT 4.1 PADA DOMAIN MONITORING AND EVALUATE (STUDI KASUS : PT USSI DIVISI PRODUKSI),"Penelitian ini membahas tentang pentingnya Tata Kelola Teknologi Informasi, karena peningkatan peran Teknologi Informasi nantinya harus berbanding lurus dengan investasi yang dikeluarkan yang biasanya mengeluarkan uang dalam jumlah besar. Halini akan membutuhkan perencanaan yang matang dalampelaksanaan investasiTeknologi Informasi nantinya. Untuk itulah diperlukan adanya tata kelola Teknologi Informasi yang baik pada suatu perusahaan dimulai dari perencanaan sampai dengan implementasi, agar perusahaan tersebut dapat berjalan secara optimal. COBIT framework menyediakan ukuran, indikator, proses dan kumpulan praktik terbaik untu kmembantu perusahaan mengoptimalkan pengelolan Teknologi Informasi dan mengembangkan kontrol terhadap manajemen Teknologi Informasi yang pantas untuk suatu organisasi. Dengan demikian perusahaan akan merasa bahwa investasi Teknologi Informasi mereka membawa keuntungan maksimal bagi proses bisnis mereka.Penelitian ini mengangkat kasus pada PT USSI Divisi Produksi, dimana audit yang dilakukan menggunakan kerangka kerja COBIT 4.1 pada domain Monitor and Evaluate. Bertujuan memberikan nilai terhadap proses pengawasan dan evaluasi penggunaan Tata Kelola Teknologi Informasi. Hasil analisis yang diperoleh bahwa pengawasan Tata Kelola Teknologi Informasi ini sudah pada tingkat baik dan juga digunakan sebagai acuan rekomendasi bila ditemukan kesalahan-kesalahan yang memang harus diperbaiki.",Sistem Informasi
263,SISTEM INFORMASI GEOGRAFIS DALAM MEMBERIKAN INFORMASI TINGKAT KEPADATAN ARUS LALU LINTAS (Studi Kasus Dinas Perhubungan Kota Bandung),"Lalu lintas terbentuk oleh tiga komponen yaitu manusia, kendaraan, dan jalan sehingga dapat didefinisikan sebagai gerak hilir mudik kendaraan dan orang pada sarana jalan umum. Semakin tinggi kebutuhan manusia dalam melakukan aktivitas rutin yang perlu berpindah dari satu tempat ke tempat lainnya, maka semakin tinggi pula tingkat kepadatan lalu lintas. Permasalahan tersebut menjadi bahan kajian bagi Dinas Perhubungan (Dishub) Kota Bandung dalam mengurai kepadatan agar tercipta kelancaran lalu lintas di Kota Bandung. Dishub Kota Bandung bertugas melakukan rekayasa lalu lintas atau pemetaan kepadatan ruas jalan. Maka diperlukan suatu sistem terintegrasi dalam proses pemetaan, pengelolaan data, penyimpanan dan penyajian informasi kepadatan lalu lintas secara cepat dan tepat. Dengan memanfaatkan teknologi sistem informasi geografis berbasis website, petugas yang berjaga di setiap ruas jalan dapat dengan mudah berkoordinasi dan menganalisis solusi rute alternatif yang diperlukan. Sistem informasi geografis (SIG) merupakan sistem informasi yang secara khusus dapat mengelola data spasial (bereferensi keruangan). Atau dalam arti yang lebih sempit, adalah sistem komputer yang dapat mengelola dan menampilkan informasi bereferensi geografis berupa peta digital. Untuk pembangunan website SIG dibutuhkan beberapa alat diantaranya QuantumGIS (QGIS), QGIS Server, basis data PostgreSQL, bahasa pemrograman PHP, HTML, CSS, dan Javascript. Dalam tahap pengujian sistem, digunakan metode black box testing yang memperoleh hasil bahwa sistem dapat mengelola dan menyajikan informasi dengan cepat dan tepat. Informasi geografis berupa peta digital pada sistem menampilkan tingkat kepadatan lalu lintas terkini, sehingga petugas dan masyarakat dapat memperoleh informasi terbaru mengenai lalu lintas di Kota Bandung. Dengan demikian, diharapkan SIG berbasis website ini dapat mempermudah Dishub Kota Bandung dalam mengelola data tingkat kepadatan lalu lintas. Sehingga dapat digunakan untuk keperluan analisis solusi rute alternatif, pola rutinitas ruas jalan, sampai dengan pembuatan laporan guna untuk meningkatkan pelayanan kepada warga Kota Bandung.",Sistem Informasi
280,SISTEM INFORMASI PENILAIAN KINERJA KARYAWAN PADA PT BANK MANDIRI (PERSERO) TBK TERHADAP KEPUASAN PENILAIAN KINERJA,"Pembinaan dan pengembangan karyawan baru ataupun lama dalam perusahaan adalah salah satu kegiatan dalam rangka menyesuaikan diri dengan perubahan dan perkembangan karyawan. Karena itu perlu dilakukan evaluasi atas pekerjaan yang telah dilaksanakan oleh karyawan atau disebut dengan penilaian kinerja atau penilaian prestasi kerja. Tujuannya untuk mengukur kekuatan suatu kinerja dalam perusahaan dan untuk mengukur skill masing-masing karyawan sehingga mudah untuk menempatkan masing-masing karyawan pada bagian pekerjaan yang tepat. Pada bagian SDM dalam pengelolaan kinerja karyawan masih dilakukan dengan proses membagikan form penilaian dengan proses yang panjang dan waktu yang cukup lama. dengan proses waktu yang cukup lama. Pada proses penilaian kinerja setiap karyawan, masih dilakukan secara manual akibatnya penilaian kinerja pada karyawan membutuhkan waktu yang cukup lama. Selain itu belum di buatnya proses publikasi hasil dari pengelolaan kinerja dari SDM ke setiap kepala divisi. Sehingga karyawan sulit mengetahui informasi hasil dari kinerja setiap masing-masing karyawan. Untuk mengurangi permasalahan yang ada maka dibuatlah suatu Sistem Informasi Penilaian Kinerja Karyawan Pada PT Bank Mandiri (Persero) Tbk Untuk Meningkatkan Kepuasan Karyawan Terhadap Penilaian Kinerja. Pembangunan sistem informasi ini diawali dengan menganalisis proses yang sedang berjalan kemudian mengumpulkan data yang dibutuhkan untuk dideskripsikan pada tahap perancangan. Perancangan sistem informasi digambarkan dengan flowmap yang menjelaskan alur proses bisnis yang sedang berjalan mengenai penilaian. Serta pemodelan dengan UML (Unified Modelling Language) yang digunakan untuk visualisasi, perancangan, pendokumentasian sistem piranti lunak. Sistem yang dibangun menggunakan pemrogramman PHP dengan framework Code Igniter dan basisdata menggunakan database MySQL serta pengujian untuk sistem ini menggunakan teknik blackbox. Sistem informasi yang dibangun memiliki kemampuan untuk mengelola data penilaian karyawan sehingga dapat mempermudah karyawan dalam melakukan penilaian dan mendapatkan informasi hasil penilaian.",Sistem Informasi
287,SISTEM INFORMASI MONITORING PROGRES PROYEK PERANGKAT LUNAK BERBASIS SCRUM,"Scrum merupakan kerangka kerja yang digunakan dalam proyek yang bersifat kompleks, namun scrum lebih sering digunakan oleh para pengembang perangkat lunak. Scrum memiliki aturan-aturan tersendiri yang perlu diikuti oleh para anggotanya, sehingga dalam kegiatan monitoring proyeknya pun perlu menyesuaikan dengan implementasi kerangka kerja scrum itu sendiri. Penelitian dilakukan di PT. Smooets yang merupakan perusahaan pengembang aplikasi, dan merumuskan beberapa permasalahan yang dihadapi dalam melakukan monitoring perkembangan proyek. Metode penelitian yang digunakan adalah action research dengan tahapan meliputi diagnosis yang merupakan tahap analisis, action planning untuk melakukan perencanaan pengembangan sistem dengan menggunakan metode RUP (Rational Unified Process), action taking yaitu tahap pengembangan sistem menggunakan framework ASP.NET MVC dengan pengujian sistem menggunakan blackbox testing, evaluation sebagai tahap evaluasi hasil penelitian, dan reflection sebagai tahap akhir untuk mengkaji apakah hasil penelitian telah menjawab permasalahan yang ada. Hasil dari penelitian ini adalah sistem informasi monitoring proyek perangkat lunak berbasis scrum yang dapat memudahkan tim scrum dalam memonitoring perkembangan proyek.",Sistem Informasi
