id,title,abstract,study_program
19,PENENTUAN WAKTU OPTIMAL NYALA PENGATUR LAMPU LALU LINTAS DENGAN MENGGUNAKAN METODE SIMULASI (STUDI KASUS DI PEREMPATAN JALAN SOEKARNO HATTA – BUAH BATU),"Faktor utama yang mempengaruhi pengaturan lampu lalu lintas khususnya pada perempatan Jalan Soekarno Hatta – Buah Batu adalah besarnya volume kendaraan pada perempatan tersebut. Semakin padat kendaraan yang melewatinya, maka semakin panjang antrian kendaraan yang lewat. Hal ini dibutuhkan waktu nyala lampu lalu lintas yang optimal sehingga volume kendaraan pada perempatan tersebut dapat berkurang atau bahkan seluruhnya dapat melintas. Penyebab lain dari kemacetan adalah tidak sesuainya penentuan waktu lampu hijau dengan jumlah kedatangan kendaraan yang berada di ruas jalan tersebut. Jumlah kedatangan kendaraan yang lebih banyak dibandingkan waktu lampu hijau yang sedikit akan mengakibatkan kemacetan yang sangat panjang. Tujuan dari penelitian ini adalah penentuan waktu nyala lampu lalulintas yang optimal pada perempatan Jalan Soekarno Hatta – Buah Batu, data yang diperoleh diolah dengan menggunakan simulasi Promodel 6.0, kemudian dilakukan analisis perbandingan antara model awal dan model yang telah diperbaharui, dan dijadikan sebagai masukan untuk mengontrol waktu nyala lampu lalu lintas. Berdasarkan hasil simulasi dengan menggunakan tiga skenario, diperoleh hasil perbaikan yang optimal pada skenario dua dengan usulan yakni pada pagi hari arah timur dengan lampu hijau menjadi 120 detik perubahan yang terjadi dari 3338 kendaraan menjadi 3098 kendaraan, arah barat dengan lampu hijau menjadi 44 detik perubahan yang terjadi dari 1142 kendaraan menjadi 1259 kendaraan, arah selatan dengan lampu hijau menjadi 112 detik perubahan yang terjadi dari 3025 kendaraan menjadi 2934 kendaraan, arah timur dengan lampu hijau menjadi 58 detik perubahan yang terjadi dari 559 kendaraan menjadi 623 kendaraan. Sedangkan pada sore hari arah timur dengan lampu hijau menjadi 120 detik perubahan yang terjadi dari 1936 kendaraan menjadi 1806 kendaraan, arah barat dengan lampu hijau menjadi 84 detik perubahan yang terjadi dari 3104 kendaraan menjadi 3072 kendaraan, arah selatan dengan lampu hijau menjadi 72 detik perubahan yang terjadi dari 1763 kendaraan menjadi 1814 kendaraan, arah timur dengan lampu hijau menjadi 58 detik perubahan yang terjadi dari 1222 kendaraan menjadi 1352 kendaraan. Durasi penyalaan lampu merah dan lampu hijau yang diusulkan dalam penelitian ini telah menyebabkan terjadinya perbaikan panjang antrian pada masing- masing ruas jalan dengan rata-rata 40%.",Teknik Industri
23,EVALUASI KINERJA PROYEK ULTRASONIC METERING UPGRADE MENGGUNAKAN METODE EARNED VALUE (Studi di ConocoPhilllips (Grissik) Ltd.),"Proyek memerlukan evaluasi yang dilakukan setelah proyek memasuki tahap pengerjaan, karena tidak menutup kemungkinan terjadi masalah seperti keterlambatan pelaksanaan atau bahkan sampai terhenti pelaksanaannya karena masalah biaya. Proyek Ultrasonic Metering Upgrade sudah terjadi keterlambatan di awal pekerjaan dimana proyek direncanakan selesai sebesar 16,23% tetapi kenyataannya hanya selesai sebesar 8,13%, sehingga perlu dilakukan percepatan atas penumpukan kegiatan untuk menyusul keterlambatan pekerjaan. Percepatan tersebut berpengaruh terhadap biaya yang dikeluarkan akan tidak sesuai sesuai dengan anggaran biayanya. Tujuan penelitian ini adalah mengevaluasi kinerja biaya proyek dan kinerja waktu proyek tersebut dengan menggunakan metode earned value serta memberikan usulan pengendalian proyek yang diperlukan untuk pertimbangan agar proyek dapat berjalan sesuai rencana. Hasil dari evaluasi yang ditunjukkan oleh earned value dapat digunakan sebagai early warning jika terdapat inefisiensi kinerja dalam penyelesaian proyek sehingga dapat dilakukan antisipasi dini agar pembengkakan biaya dan keterlambatan penyelesaian proyek dapat dicegah. Berdasarkan hasil penelitian, ditemukan bahwa performansi biaya proyek selalu mengalami penyimpangan dan indeks kinerja biaya yang tidak efisien. Di periode keenambelas proyek mengeluarkan biaya sebesar Rp 10,418 Milyar, sedangkan anggaran biayanya hanya sebesar Rp 6,790 Milyar. Selain itu, ditemukan pula bahwa performansi waktu proyek mengalami keterlambatan di awal pengerjaan. Namun, indeks kinerja jadwal proyek menunjukkan pekerjaan yang dilakukan efisien karena pada periode keenambelas proyek menyelesaikan perkerjaan sebesar 66,05%, dimana perencanaannya hanya sebesar 56,81%. Masalah yang terjadi pada aspek biaya dan jadwal antara lain disebabkan oleh jumlah tenaga kerja yang digunakan, pengadaan material dan bahan yang digunakan, serta pengalokasian waktu yang digunakan untuk setiap pekerjaannya.",Teknik Industri
34,PEMILIHAN PEMASOK KOMPONEN OTOMOTIF YANG TEPAT DENGAN MENGGUNAKAN METODE AHP DAN TOPSIS DI PT AISIN INDONESIA,"Dunia perindustrian otomotif saat ini sedang berkembang pesat, termasuk di Indonesia. Untuk itu semua pabrikan mobil, mencari komponen dengan kualitas terbaik dan harga yang rendah (optimal). Hal ini merupakan tantangan terbesar para pemasok komponen otomotif untuk menjaga kelanjutan dan kelancaran dalam berbisnis dengan mempertimbangan berbagai hal, seperti pemilihan pemasok yang tepat agar harga dan kualitas produk tetap kompetitif. Oleh karena itu perusahaan harus menghasilkan produk dengan inovasi dan biaya per unit yang lebih baik dari pada kompetitor lainnya. Sehingga di waktu mendatang produk dari segi kualitas maupun harga produk tetap kompetitif. Dengan penerapan adanya lokalisasi komponen produk diharapkan perusahaan dapat membuat produk dengan kualitas baik dan harga yang lebih kompetitif. Tujuan tersebut dapat diraih bila perusahaan dapat memilih pemasok yang tepat. Oleh Karena itu diperlukan pemilihan pemasok dengan menggunakan metode AHP dan TOPSIS agar tujuan pemilihan pemasok yang tepat bisa tercapai. Dari hasil penelitian ini ditemukan bahwa metode AHP dan TOPSIS dapat digunakan untuk menyeleksi pemilihan pemasok komponen otomotif dengan baik.",Teknik Industri
44,PENENTUAN JUMLAH OPERATOR PRODUKSI DENGAN METODE WORK SAMPLING DI PT PJB UNIT PEMBANGKIT LISTRIK TENAGA AIR CIRATA,"Laporan tugas akhir ini melakukan pengamatan terkait jumlah operator produksi serta pengaruhnya dengan idle time dan waktu produktif di pembangkit listrik tenaga air (PLTA), operator berperan besar pada proses pembangkitan energi listrik yaitu bertugas mengoperasikan alat, memantau dan mendeteksi, mengkaji, merencanakan, dan mengimplementasikan berbagai keadaan operasi pembangkit. Operator menginterpretasikan dan mengintegrasikan semua informasi berdasarkan pelatihan, pengalaman, dan komunikasi mereka. Operator harus mempunyai etos kerja yang baik dan mempunyai produktivitas yang tinggi dalam bekerja. Waktu produktif dan idle dapat menjadi suatu indikator keberhasilan perusahaan dalam pemanfaatan sumber daya untuk menghasilkan suatu produk yang diinginkan sehingga banyak perusahaan berusaha untuk memperbaiki besarnya idle dan meningkatkan waktu produktif. Work sampling adalah salah suatu metode pendekatan pengukuran waktu kerja yang bisa digunakan untuk mengukur waktu produktif dan idle dengan cukup mudah. Work sampling secara umum dapat dikatakan sebagai suatu teknik dimana banyak dilakukan pengamatan cepat dalam periode waktu tertentu dari suatu kelompok kerja, mesin atau proses. Pada penelitian ini yang menjadi fokus adalah pekerja yaitu operator. Aplikasi pengukuran waktu kerja ini juga digunakan untuk mencari jumlah operator yang optimal dalam proses produksi energi listrik. Pada pengukuran waktu kerja di tugas akhir ini diperoleh tingkat idle time dan waktu produktif untuk 4 operator terpilih, dengan hasil operator 2 sebagai salah satu responden pengamatan memiliki tingkat waktu produktif tertinggi dan tingkat idle time terendah, sedangkan responden pengamatan operator 1 memiliki tingkat waktu produktif terendah dan tingkat idle time tertinggi. Selain itu juga telah dilakukan tindakan perbaikan atau correction dengan merekomendasikan jumlah operator yang optimal dalam proses produksi PLTA dengan memanfaatkan data hasil pengukuran waktu kerja dengan metode work sampling.",Teknik Industri
115,"USULAN MINIMASI CACAT PRODUK MENGGUNAKAN METODE SIX SIGMA, FAULT TREE ANALYSIS DAN FAILURE MODE AND EFFECT ANALYSIS DI PT KALBE MORINAGA INDONESIA","PT Kalbe Morinaga Indonesia adalah perusahaan yang bergerak dibidang pangan yang memproduksi susu formula. Produk susu formula ini diproduksi setiap hari dan selalu ditemukan cacat setiap bulannya di tahun 2018 sebesar 4,35% yang melebih batas toleransi yang ditetapkan yaitu 2%, sehingga mengakibatkan penurunan kualitas. Penelitian ini dilakukan dengan mengamati proses produksi dan melakukan wawancara dengan pihak yang terlibat. Tujuan penelitian ini untuk mengidentifikasi penyebab cacat produk menggunakan metode Six Sigma dan memberikan usulan perbaikan menggunakan metode Fault Tree Analysis (FTA), dan Failure Mode and Effects Analysis (FMEA). Metode Six Sigma digunakan untuk mengukur Sigma Quallity Level (SQL) berdasarkan nilai Defect per Million Opportunity (DPMO) proses produksi susu formula. Metode Fault Tree Analysis digunakan untuk mengidentifikasi penyebab kecacatan yang menjadi acuan untuk melakukan perbaikan. Metode Failure Mode and Effect Analysis (FMEA) digunakan untuk mengusulkan perbaikan berdasarkan nilai Risk Priority Number (RPN) terbesar sampai terkecil pada penyebab kecacatan. Berdasarkan hasil pengolahan Six Sigma terdapat tiga jenis cacat yaitu cacat terindikasi bakteri, cacat kadar laktosa tinggi, dan cacat rasa tidak sesuai standar. Hasil perhitungan menggunakan metode Six Sigma didapat nilai DPMO sebesar 14.497,33 dan nilai Sigma Quality Level sebesar 3,71. Hasil Fault Tree Analysis (FTA) menunjukan 7 faktor penyebab cacat beserta nilai Risk Priority Number dari metode Failure Mode and Effect Analysis (FMEA)yang menjadi prioritas perbaikan diantaranya adalah kurang disiplin (384 RPN), kurang terlatih (384 RPN), kurang teliti (288 RPN), kurang monitoring flushing (256 RPN), kurang pengetahuan (240 RPN), kurang monitoring swab (224 RPN), kurang monitoring organoleptik (224 RPN). Usulan perbaikan yang dilakukan adalah melakukan monitoring personal hygiene setiap hari, melakukan training organoleptik dan personal hygiene secara rutin, membuat form disposisi produk, melakukan monitoring flushing dan swab, dan melakukan sharing knowledge. Hasil perbaikan didapat nilai DPMO sebesar 6,72 dan nilai SQL sebesar 5,93.",Teknik Industri
138,ANALISIS BEBAN KERJA KARYAWAN CUSTOMER SUPPORT DENGAN METODE CARDIOVASCULAR LOAD (%CVL) DANNATIONAL AERONAUTICS AND SPACE ADMINISTRATION TASK LOAD INDEXDI PT XYZ,"Karyawan merupakan asset yang sangat penting bagi perusahaan. Namun pada kenyataannya, seringkali karyawan mengalami beberapa kondisi yang tidak sesuai dengan apa yang diharapkan dalam ruang lingkup pekerjaan. Misalnya, serangkaian tuntutan yang berkaitan dengan pekerjaan beban fisik dan mental kerja yang berlebihan.PT. XYZ merupakan perusahaan yang bergerak dalam bidang investasi dan memberikan jasa edukasi dalam trading forex(foreign exchange) atau pertukaran mata uang asing. Perbedaan sistem kerja yang ada di antara karyawan menyebabkan adanya perbedaan cara kerja. Hal tersebut dapat dilihat dari adanya keluhan karyawan yang mengalami beban kerja fisik dan mental yang diatas rata-rata. Penelitian ini menggunakan metode pengukuran beban kerja fisik dengan metode Cardiovascular Load (%CVL) dan beban kerja mental dengan menggunakan metode NASA-Task Load Index (NASA-TLX).Setelah itu dilakukan Uji Regresi untuk mendapatkan analisa lanjutan.Berdasarkan hasil analisis %CVL, karyawan yang membutuhkan perbaikan sebanyak 50% dari total karyawan yang ada. Sedangkan untuk hasil dari NASA-TLX, diperoleh 50% karyawan dengan kategori beban kerja mental tinggi.Temporal Demand yang berarti jumlah tekanan yang berkaitan dengan waktu selama elemen pekerjaan berlangsung merupakan aspek yang paling banyak dikeluhkan.Setelah itu, Mental Demand yang merupakan besar aktivitas mental yang dibutuhkan juga menjadi aspek kedua yang paling banyak dikeluhkan.",Teknik Industri
162,ANALISIS PENJADWALAN PENGIRIMAN PRODUK DENGAN METODE DISTRIBUTION REQUIREMENT PLANNING DI PT SARANA TRIMITRA SOLUSINDO,"PT Sarana Trimitra Solusindo menghadapi masalah persediaan di gudang yang sering terjadi keterlambatan dan pemesanan barang dengan jumlah yang tidak pasti. Hal ini menyebabkan kekurangan dan kelebihan stok sehingga memerlukan pemesanan kembali atau back order. Penelitian ini bertujuan untuk menentukan penjadwalan pengiriman produk dan biaya pengiriman produk untuk meminimalisasi biaya yang harus dikeluarkan perusahaan dengan melakukan penjadwalan yang tepat dengan perbandingan biaya distribusi perusahaan saat ini dan setelah dilakukan penerapan DRP. Pengolahan data dilakukan menggunakan metode DRP dan ukuran lot pemesanan dengan metode EOQ untuk mengoptimalkan persediaan dan biaya distribusi yang dikeluarkan perusahaan. Dari hasil penelitian diperoleh biaya pemesanan dengan frekuensi pengiriman sebanyak 12 kali per tahun dan total biaya distribusi yang dikeluarkan perusahaan saat ini sebesar Rp 24.012.600/ tahun. Penerapan metode DRP, jumlah pemesanan produk sebesar 230 unit/tahun dengan frekuensi pengiriman lima kali dalam satu tahun dan total biaya distribusi sebesar Rp 3.503.750/tahun dan biaya penyimpanan 12%/tahun sebesar Rp 420.000/tahun/unit. Dengan penerapan metode DRP biaya distribusi perusahaan berkurang sebesar Rp 15.468.850/tahun atau turun sebesar 64.41% dari biaya distribusi pada saat ini.",Teknik Industri
184,ANALISIS DISTRIBUSI AIR MINERAL DENGAN METODE SAVINGS HEURISTIC UNTUK MEMINIMASI BIAYA TRANSPORTASI DI PT TRI BANYAN TIRTA,"PT Tri Banyan Tirta merupakan perusahaan yang bergerak di bidang produksi dan distribusi air mineral khususnya produk dengan merek Alto . Perusahaan ini berfungsi sebagai distributor yang mendistribusikan air mineral ke setiap agen di Bandung dan sekitarnya. Permasalahan pendistribusian yang terjadi di PT Tri Banyan Tirta adalah kondisi pemilihan rute distribusi air mineral saat ini dianggap tidak efisien, hal ini dilihat dari penggunaan rute yang hanya didasarkan pengetahuan para pengemudi serta pemilihan armada yang tidak memperhatikan kapasitas angkut dan pemenuhan permintaan agen. Kondisi ini mengakibatkan biaya operasional menjadi lebih besar serta waktu pengiriman menjadi lebih lama. Penelitian ini bertujuan untuk menentukan rute kendaraan yang paling efisien sehingga diperoleh jarak tempuh yang terpendek, dan jumlah armada yang digunakan serta mendapatkan biaya transportasi yang paling minimum. Penggunaan metode saving heuristic dapat membantu memecahkan masalah dalam menentukan rute distribusi air mineral, karena dengan metode ini banyaknya titik/node(agen) dari rute distribusi akan dipisahkan berdasarkan waktu dan jarak terdekat. Saving heuristic merupakan salah satu metode dari vehicle routing problem (VRP) yang membantu dalam penentuan rute yang paling efisien. Dalam saving heuristic tahap awal yang harus dilakukan adalah menentukan rute lama dan membuat matriks jarak setiap node, selanjutnya menentukan rangking saving dari yang tertinggi ke nilai saving yang terendah. Berdasarkan hasil perhitungan saving heuristic untuk tingkat pelayanan permintaan lebih dari atau sama dengan 20 karton, maka diperoleh total jarak kondisi saat ini sejauh 56,26 km/hari menggunakan 3 unit armada dengan ongkos transportasi sebesar Rp 9.198.188,02 per bulan. Setelah penggunaan metode saving heuristic total jarak rute terpendek sejauh 43,44 km/hari dengan ongkos transportasinya sebesar Rp 6.215.251 per bulan serta jumlah armada pengiriman sebanyak dua unit.",Teknik Industri
283,ANALISIS PENGARUH FAKTOR MANUSIA DAN TEKNIS ATAS KECELAKAAN KERJA DENGAN METODE REGRESI LINIER BERGANDA DI BENGKEL FABRIKASI BHIMASENA RESEARCH & DEVELOPMENT,"PT. Bhimasena Research & Development merupakan perusahaan yang bergerak di bidang industry pertahanan. Sektor manufaktur yang di dominasi oleh bagian fabrikasi ini merupakan sector yang tidak hanya menekankan hasil karya yang telah dibuat, tetapi menekankan juga terhadap keselamatan dan kesehatan para tenaga kerjanya. Berdasarkan data yang diperoleh, angka kecelakaan kerja yang terjadi di PT. Bhimasena Research & Development bagian fabrikasi pada tahun 2018 terdapat 25 kecelakaan kerja dan hampir setiap bulannya terjadi kecelakaan kerja. Menurut perusahaan angka tersebut perlu di minimalisir karena mempengaruhi dampak yang besar untuk perusahaan. Beberapa penelitian terdahulu, observasi dan studi pendahuluan pada perusahaan dapat disimpulkan bahwa faktor manusia dan faktor teknis merupakan faktor yang paling berpengaruh terhadap kecelakaan kerja. Berdasarkan hal tersebut, peneliti ingin mengetahui lebih dalam tentang pengaruh faktor manusia dan faktor teknis terhadap kecelakaan kerja pada tenaga kerja di PT. Bhimasena Research & Development. Analisis yang dilakukan adalah uji regresi linier berganda. Hasil penelitian menunjukan persamaan yaitu Y= 4,651 - 0,947X1+ 0,732X2, dimana faktor manusia(X1) dan faktor teknis(X2) memiliki pengaruh yang signifikan secara simultan terhadap kecelakaan kerja dan faktor manusia memiliki pengaruh yang tidak searah (negatif) terhadap kecelakaan kerja serta faktor teknis memiliki pengaruh yang searah (positif) terhadap kecelakaan kerja, selain itu juga dari hasil analisis ini di dapat model matematis yang dapat digunakan untuk memprediksi besaran kecelakaan kerja, sehingga perusahaan dapat melakukan tindakan preventif terhadap pekerja sehingga kecelakaan kerja yang terjadi dapat berkurang.",Teknik Industri
299,Analisis Faktor-Faktor Perbaikan Kualitas Jasa Transportasi Untuk Armada Bis Wisata Di Perusahaan Otobis Darma Sardia,"DS Autobus Company was established in 1952. In the beginning, the company was not running bus as it main business but it was managing trucks transportation services. In 1970, this company started to run bus business. DS Autobus Company was established by H. Basar Darma Sadia. The company headquarter is at Jl. Sindanglaya, Bandung. The problem which investigated is how far the costumer satisfaction level from service quality of the company. This research has been prepared to help the company improving its service quality. Suggestion for improvement can be done when customer’s perception and expectation known. One of the factors that determine customer satisfaction is service quality that composed of five dimensions. Model of analysis that used in this research is SERVQUAL. This model can investigate perceptions and expectations of customers based on five service dimensions and identify five gaps that cause low quality. Gaps mean unsuitable conditions between perceived service and expected service. From data analyzing and processing can be concluded that costumers expect to get the best service, expectation level that expected by costumers that almost fulfill by the company is about the rent price, from tangible dimension that got lowest score is feet space between chairs. Service quality priority that expected to improve based on ZOT level are feet space between chairs, bus isle width, reclining seat, and bus’ crew performance.",Teknik Industri
