id,title,abstract,study_program
11,IMPLEMENTASI CLUSTERING TERHADAP SEGMENTASI PELANGGAN DENGAN MENGGUNAKAN ANALISIS RFM,"Segmentasi pelanggan berdasarkan RFM telah digunakan lebih dari 50 tahun yang lalu untuk menargetkan bagian-bagian pelanggannya, meminimalkan biaya perpesanan, dan meningkatkan profitabilitas. Metode RFM telah digunakan untuk melakukan pengelompokan pelanggan, setiap pelanggan dinilai profitabilitasnya terhadap perusahaan dari transaksi yang telah dilakukan. Oleh karena itu, segmentasi pelanggan dengan menggunakan teknik data mining clustering dapat menjadi sebuah keputusan bisnis yang efektif dalam membuat strategi bisnis dengan tiap segmennya. Pada penelitian ini digunakan teknik hierarchical clustering untuk pengelompokan data menggunakan metode Agglomerative Hierarchical Clustering (AHC) dalam memproses hasil analisis RFM, dimana metode menghasilkan pengelompokan pelanggan dimana seorang pelanggan hanya akan masuk dalam satu kelompok saja. Data yang digunakan pada penelitian ini yaitu data transaksi retail, dengan jumlah data 541.909 data. Jupyter notebook sebagai tools dapat digunakan dalam implementasi metode dengan menggunakan bahasa Python, dalam hal mengolah data dan mempresentasikan data. Luaran dari penelitian ini adalah berupa segmentasi pelanggan yang ditampilkan dalam visualisasi grafik yang menggambarkan perilaku bisnis pelanggan. Segmentasi pelanggan yang dihasilkan terdiri dari 4 kelompok, dimana kelompok 0 menjadi kelompok yang terbanyak berdasarkan data transaksi yang digunakan dalam waktu satu tahun.",Teknik Informatika
60,STETOSKOP ELEKTRONIK UNTUK MENDAPATKAN SUARA DETAK JANTUNG DALAM PROSES PEMERIKSAAN SECARA MANDIRI MENGGUNAKAN MIKROKONTROLER,"Saat ini dukungan teknologi untuk Telehealth semakin berkembang, sehingga proses pemeriksaan kondisi kesehatan tidak lagi terbatas oleh tempat dan waktu. Kegiatan Telehealth ini sangat dibutuhkan terutama bagi pasien yang sulit menjangkau tempat dari tenaga kesehatan. Teknologi telehealth di Indonesia belum dapat menunjang pemeriksaan fisik secara mandiri, khususnya untuk pasien yang memiliki penyakit bagian dalam seperti jantung. Pemantauan kesehatan jantung berdasarkan suara secara berkala dirasa penting pada kasus tersebut. Permasalahan tersebut dapat diselesaikan dengan Stetoskop Elektronik yang akan dibahas pada penelitian ini. Stetoskop Elektronik ini dibangun dengan mengintegrasikan stetoskop akustik dengan ESP32 Audio Kit sebagai mikrokontroler, AGC Microphone MAX9814 untuk mikrofon, dan Kartu Penyimpanan Memori untuk menyimpan berkas hasil perekaman suara jantung. Menggunakan Stetoskop Elektronik yang dapat merekam suara jantung, riwayat perkembangan kondisi jantung berdasarkan suara secara berkala dapat digunakan pada proses Telehealth.",Teknik Informatika
66,APLIKASI SIMULASI INERAKTIF BERBASIS MULTIMEDIA (Modifikasi Sepeda Motor Harley Davidson),"Otomotif merupakan hobi yang sudah mulai banyak digemari masyarakat Indonesia khususnya hobi berkendaraan sepeda motor besar dan koleksi varian bermerek “Harley Davidson“. Sebagian Bikers banyak melakukan rombakan pada motor Harley Davidson nya, maka berbagai ragam perombakan pun dilakukan guna memenuhi selera hati. Akhirnya, lahir lah bermacam–macam gaya atau aliran modifikasi, yang hingga saat ini terus berkembang, mulai dari yang ringan sampai dengan yang berat. Jenis – jenis aliran modifikasi yang ada seperti: Stock Custom, Dresser, Streetster, Hi Tech, Custom, Full Custom, Chopper, Extrem Chopper, Hardcore, Psycodelic. Tujuan yang ingin dicapai dari Tugas Akhir ini adalah untuk membuat aplikasi simulasi modifikasi sepeda motor yang interaktif dan berbasis multimedia, agar dalam pelaksanaan modifikasi lebih cepat selesai, sehingga biaya berkurang. Aplikasi simulasi ini dapat membantu para pemilik Harley Davidson dalam melaksanakan modifikasi untuk memilih komponen dan spesifikasi yang di diinginkan. Pada aplikasi ini teknologi Informatika yang akan di terapkan adalah: - Teknologi XML sebagai “virtual data base”; - Teknologi Macromedia Flash untuk tampilan grafis interface pemakai; - Dan Windows XP sebagai basis Sistem Operasi yang akan menjalankan aplikasi ini.",Teknik Informatika
77,PENGEMBANGAN SISTEM INVENTORY MENGGUNAKAN METODE FIFO (FIRST-IN FIRST-OUT) PADA PERUSAHAAN JASA (STUDI KASUS : NUSANTARA MOTOR BANDUNG),"Persediaan (inventory) merupakan bahan baku yang disimpan oleh suatu perusahaan untuk memenuhi permintaan pelanggan. Masalah umum yang dihadapi dalam persediaan adalah barang yang menumpuk lama di gudang. Barang tersebut memiliki waktu kadaluwarsa. Jika waktu kadaluwarsa barang tersebut telah lewat, maka barang tersebut tidak layak untuk dijual. Dampaknya, perusahaan mengalami kerugian. Nusantara Motor Bandung merupakan suatu usaha yang bergerak pada bidang otomotif, yang dimana memberikan layanan jasa perawatan dan perbaikan serta melakukan penjualan suku cadang kendaraan roda dua. Nusantara Motor Bandung memiliki stok suku cadang yang banyak. Berdasarkan hasil penelitian menunjukkan bahwa suku cadang fast moving dan slow moving yang dipasarkan memiliki waktu kadaluarsa. Sehingga, pada proses penjualan persediaan barang yang lama harus habis terlebih dahulu sebelum menghabiskan yang baru. Permasalahan tersebut dapat diselesaikan dengan pengembangan sistem inventory. Dalam sistem inventory ini, terdapat menu untuk mengelola data stok barang, purchase request, purchase order, sales order, laporan dan data-data terkait lainnya. Dalam penjualan suku cadang, pengurangan stok barang menggunakan metode FIFO (First-In First-Out) berdasarkan tanggal penerimaan barang tersebut di gudang. Metode FIFO merupakan metode pencatatan persediaan yang mengasumsikan persediaan yang pertama masuk akan dijual terlebih dahulu dan persediaan yang masuk terakhir akan dikeluarkan dikemudian hari. Hal tersebut berguna untuk menghindari suku cadang baik fast moving dan slow moving melewati waktu kadaluwarsa.",Teknik Informatika
118,ANALISA PERFORMANSI PACKET SCHEDULING DOWNLINK MAX-THROUGHTPUT & PROPORTIONAL FAIR PADA LAYANAN VOLTE,"Jaringan LTE merupakan jaringan telekomunikasi berkecepatan tinggi yang menggunakan gelombang radio dalam transmisi data kepada user, jumlah gelombang radio yang dapat digunakan dalam transmisi data bergantung pada jumlah bandwidth yang tersedia.Terbatasnya jumlah bandwidth yang dapat digunakanmengakibatkan dibutuhkannya algoritma penjadwalan yang disebut sebagai packet scheduler.Packet scheduler berfungsi menjadwalkan pengiriman data dengan menggunakan gelombang radio yang ditentukan berdasarkan dari nilai keputusan yang dihasilkan oleh algoritma packet scheduler yang disebut sebagai nilai metric. Pada penelitian ini ada dua jenisalgoritma packet scheduler yang akan diuji, yaitu Max-Throughput dan Proportional Fair, keduanya merupakan packet scheduler jenis channel-aware. VoLTE merupakan layanan suara pada jaringan LTE yang dituntut memiliki nilai standar kualitas layanan suara MOS (Mean Opinion Score) lebih besar atau sama dengan 3.5. Penelitian ini bertujuan menguji kinerja packet scheduler Max-Throughput & Proportional Fairdengan membandingkan throughput, packet loss ratio, delay, MOS, fairness, dan spectral efficiency. Penelitian ini terbatas pada eNB, dan cell yang berjumlah 1, variasi jumlah user adalah sebanyak 10, 20, 30 hingga 100, kecepatan pergerakan user adalah 0 km/h, 3 km/h, dan 30 km/h, jenis trafik data yang dilewatkan adalah VoIP dan trafik data Video disertai CBR sebagai pembanding yang berukuran 32 byte dan 2162 byte. Penelitian ini dilakukan dengan mensimulasikan kinerja packet scheduler menggunakan software LTE-Sim release5 yang didukung dengan bahasa C++. Hasil dari penelitian ini adalah packet scheduler Max-Throughput lebih baik dari packet scheduler Proportional Fair dari perbandingan throughput dan spectral efficiency, sementara packet scheduler Proportional Fair lebih baik dari packet scheduler Max-Throughput dari perbandingan packet loss ratio, delay, dan fairness. Packet scheduler Proportional Fair memenuhi standar kualitas VoLTE, namun packet scheduler Max-Throughputtidak memenuhi standar kualitas VoLTE.",Teknik Informatika
126,"IMPLEMENTASI ETL (EXTRACT, TRANSFORM, LOAD) PADA PERANCANGAN SISTEM DATA WAREHOUSE UNIVERSITAS WIDYATAMA","ETL atau extract, transform, dan load adalah sebuah jembatan untuk membangun sebuah data warehouse. ETL bertanggung jawab untuk mengekstraksi data dari beberapa sumber data yang terpisah. Mengintegrasikannya lalu memasukannya kedalam data warehouse. Proses ETL merupakan salah satu tugas terbesar untuk membangun sebuah data warehouse. Sebagian besar waktu dipergunakan untuk merancang dan membangun proses ETL. Hal ini dikarenakan dalam merancang dan membangun transformasi ETL untuk data warehouse harus melakukan beberapa tahapan. Dimulai dari analisis hingga pelaksanaan. Rancang bangun yang baik akan berpotensi menghasilkan data warehouse yang baik, cepat, dan akurat. Membangun data warehouse ini membutuhkan kefokusan dan pemahaman pada tiga bidang utama. Yaitu, bidang data sumber, bidang data tujuan, dan bidang pemetaan. Universitas Widyatama sebagai salah satu universitas favorit di Bandung membangun sebuah data warehouse karena mengingat mendesaknya kebutuhan data yang semakin besar. Dashboard yang dibuat untuk menampilkan data dari sumber data akademik, keuangan, dan SDM dibuat dengan bahasa pemograman PHP (Hypertext Preprocessor) dan untuk database menggunakan MySQL. Dashboard menampilkan chart dengan durasi waktu tertentu yang sebelumnya sudah dibangun job schedule bersamaan dengan proses ETL. Tools yang digunakan untuk melakukan proses ETL dan membuat job schedule menggunakan Pentaho Data Integration (PDI). Dengan dibangunnya data warehouse, data-data yang berasal dari berbagai sumber dapat diintegrasikan, proses query menjadi  lebih mudah, dan dapat menghasilkan berbagai informasi yang dapat dilihat melalui aplikasi dashboard. Untuk selanjutnya, proses transformasi pembangunan data warehouse ini dapat dijadikan salah satu informasi untuk proses laporan kepada pimpinan universitas, sistem pengambilan keputusan, dan juga sebagai borang akreditasi.",Teknik Informatika
168,MEDIA PEMBELAJARAN DOA-DOA HARIAN ANAK DENGAN MEMANFAATKAN TEKNOLOGI INFORMASI BERBASIS FLASH WEB,"Media pembelajaran doa merupakan sebuah perantara penting dalam proses pendidikan doa kepada seseorang, khususnya pada pendidikan doa yang dilakukan oleh orang tua kepada anaknya. Terbukti dengan banyaknya media pembelajaran doa yang telah ada, mulai dari media pembelajaran yang berbentuk cetak hingga aplikasi desktop. Tetapi seringkali bersifat monoton dan pengguna mengalami keterbatasan akses dalam menggunakannya. Perkembangan teknologi informasi dapat dimanfaatkan untuk mengatasi masalah tersebut. Untuk membuat media pembelajaran doa yang cocok untuk anak dan menyediakan akses yang luas, media pembelajaran ini dibuat dengan menggabungkan teknologi flash yang animatif dan web yang dapat menyediakan akses yang luas. Media pembelajaran doa harian anak ini dibuat dalam tiga bagian pembelajaran, yaitu pembelajaran huruf hijaiyah, pembelajaran doa-doa, dan mengerjakan kuis. Pengguna harus menyelesaikan kuis untuk mendapatkan nilai. Soal-soal kuis diambil dari materi yang diajarkan pada media pembelajaran ini. Kuis ini dibuat dengan tujuan untuk mengetahui dan menjadi tolak ukur tingkat kefahaman terhadap materi yang dipelajari pada media pembelajaran ini. Pembangunan media pembelajaran doa harian anak ini menggunakan metode pengembangan perangkat lunak dengan model waterfall. Dalam tahap analisa menggunakan metodologi berorientasi alir data, yaitu dengan menggunakan DFD (Data Flow Diagram). Lalu aplikasi dibangun dengan menggunakan perangkat lunak utama seperti, Adobe Flash CS4 dan Adobe Dreamwaver CS4. Dan perangkat lunak pendukung seperti XAMPP 1.7.0 sebagai web sever dan Mozilla firefox sebagai web browser. Pemrograman basis data menggunakan MySQL, dan PHP sebagai bahasa pemrograman untuk mengkoneksikan aplikasi dan basisdata.",Teknik Informatika
173,AUGMENTED REALITY PENGENALAN BUDAYA INDONESIA BERBASIS ANDROID,"Indonesia merupakan bangsa yang kaya akan keanekaragaman budaya, karena Indonesia terdiri dari berbagai suku di 34 provinsi sehingga membentuk satu kesatuan  Republik Indonesia. Masing-masing daerah di Indonesia memiliki seni budaya yang  berbeda-beda sehingga menjadikan keunikan dan ciri khas tersendiri bagi daerah  tersebut. Masuknya kebudayaan asing ke Indonesia dan rendahnya pengenalan  kebudayaan kepada masyarakat terutama kepada anak sekolah menjadi beberapa faktor  penyebab berkurangnya kepedulian masyarakat terhadap kebudayaan Indonesia.  Padahal, pengenalan kebudayaan kepada anak-anak harus dilakukan sejak dini.  Pengenalan budaya sudah diterapkan di sekolah melalui mata pelajaran seperti seni  budaya. Proses belajar yang diterapkan hanya melalui buku dan mengharuskan anak anak membaca. Namun, anak-anak cenderung lebih menyukai hal-hal yang  bersangkutan dengan teknologi. Karena anak-anak menyukai sesuatu yang dianggap  lebih menarik dari pada membaca buku. Oleh karena itu proses pengenalan kebudayaan  perlu diterapkan dengan cara yang berbeda, sehingga anak- anak atau masyarakat lebih  tertarik untuk mempelejarinya. Pembangunan aplikasi yang digunakan dalam penelitian ini adalah dengan  menerapkan Augmented Reality untuk pengenalan budaya Indonesia. Hasil yang  diharapkan dari pembangunan aplikasi ini adalah masyarakat khususnya anak-anak  dapat dengan mudah mempelajari budaya Indonesia, sehingga dapat meningkatkan  pengetahuan dan tidak lupa pada budaya Indonesia.",Teknik Informatika
185,PENGAMANAN FILE MENGGUNAKAN ALGORITMA KRIPTOGRAFI RIJNDAEL,"Algoritma Rinjdael merupakan algoritma kriptografi pemenang sayembara terbuka yang diadakan NIST ( National institute of Standarts and Technology) yang dipilih untuk menggantikan Algoritma kriptografi Data encryption Standard (DES) yang dianggap tidak aman lagi karena panjang kunci yang relatif pendek dan mudah dipecahkan, lalu setelah mengalami beberapa proses dan penyempurnaan oleh NIST. Rijndael pum kemudian dijadikan standard algoritma kriptografi yang lebih dikenal Advanced Encryption Standard (AES) yang bertujuan untuk mengamankan suatu data atau file dari pihak yang tidak memiliki hak untuk mengakses data atau file tersebut. Penelitian ini membahas salah satu bentuk kriptografi, yaitu kriptografi dengan algoritma Rinjdael yang kemudian akan dilakukan perbandingan performansi dengan algoritma Twofish untuk mengetahui ketangguhan algoritma masing-masing, dan dalam pengimplementasiannya menggunakan bahasa pemograman Microsoft Visual Basic .Net.",Teknik Informatika
188,APLIKASI LOCATION BASED SERVICE SPBU DI WILAYAH BANDUNG TENGAH BERBASIS ANDROID,"Location Based Service(LBS) yang bertujuan untuk menunjukan letak suatu tempat untuk mempermudah user mencari lokasi yang dituju. Berkembangnya teknologi dan informasi salah satunya telepon genggam, maka pengembang aplikasi menjadi sangat mudah untuk membuat aplikasi LBS tersebut. Adanya sistem operasi Android yang dikenal dengan sistem operasi terbuka membantu pengembang untuk membuat aplikasi dan bisa diterapkan di sistem operasi Android. Diterapkannya LBS pada SPBU adalah untuk mempermudah pengguna jalan mencari lokasi SPBU terutama bagi wisatawan lokal yang sedang berkunjung ke kota Bandung. Didasari hal tersebut maka dilakukan penelitian untuk mengimplementasikan location based service pada sistem operasi Android untuk pencarian SPBU di wilayah Bandung Tengah. Pada penelitian ini aplikasi akan dibuat menggunakan bahasa Java dan menggunakan Eclips yang merupakan Android Developer Tools. Metode pengembangan perangkat lunak dengan menggunakan metode prototype. Hasil pengujian pada penelitian ini menunjukan bahwa Location Based Service dapat digunakan untuk mencari lokasi SPBU di wilayah Bandung Tengah dan memiliki rincian fasilitas pada SPBU tersebut. Pencarian SPBU dapat dilakukan dengan memasukan alamat SPBU yang dituju atau melihat langsung pada peta yang sudah tersedia, dan pencarian berdasarkan lokasi terdekat dari user berada. Fitur yang digunakan pada perangkat Android antara lain GPS(Global Positioning System) serta didukung oleh Google Maps API.",Teknik Informatika
