id,title,abstract,study_program
818,ANALISA EFEK KEGAGALAN POROS RODA BELAKANG DAIHATSU TAFT F70 PADA MEDAN OFFROAD,"Daihatsu Taft F70 adalah sebuah kendaraan off-road yang terkenal dengan keandalan dan kemampuannya dalam menghadapi medan yang sulit. Namun, seperti halnya kendaraan lainnya, Taft F70 juga dapat mengalami kegagalan pada beberapa komponen pentingnya, termasuk poros roda belakang. Poros roda belakang merupakan salah satu komponen utama pada sistem penggerak roda belakang kendaraan. Poros ini bertanggung jawab untuk menyalurkan daya dari diferensial ke roda belakang, sehingga memungkinkan kendaraan untuk bergerak maju. Poros roda merupakan bagian penggerak yang mengalami beban dinamis dan rentan terhadap tegangan. Tegangan ini dapat terjadi secara berulang-ulang dan terus-menerus, dan meskipun tegangan maksimum yang terjadi lebih kecil dari kekuatan statis bahan poros, kegagalan masih bisa terjadi. Pada kondisi seperti ini, sifat mekanik material akan mengalami perubahan dan kemampuannya dalam menahan beban maksimum juga akan menurun. Poros roda terbuat dari material baja karbon medium dengan kandungan karbon 0,45% kegagalan poros roda belakang disebabkan oleh beban momen torsi yang melebihi batas tegangan normal pada poros. Kondisi ini dipengaruhi oleh desain gardan tipe semi floating yang mengalihkan sebagian beban kendaraan ke poros roda. Beban angkut rata-rata kendaraan saat ekspedisi offroad mencapai 2500 kg, melampaui rekomendasi beban angkut standar sebesar 800 kg. Dalam penelitian ini menggunakan metode pengumpulan data dari literatur terkait, melakukan pengamatan lapangan terhadap kendaraan yang mengalami kegagalan poros roda, dan mengambil contoh komponen poros yang mengalami kegagalan. Analisis dilakukan terhadap karakteristik bahan material poros, beban angkut rata-rata kendaraan, dan kontur lingkungan medan offroad yang dilalui. Analisis kegagalan poros roda belakang pada Daihatsu Taft F70 dalam medan offroad menekankan perlunya pengembangan komponen yang lebih tahan terhadap beban dan torsi, serta pemilihan material yang tepat. Dengan tindakan yang tepat, kendaraan dapat lebih efektif mengatasi tantangan medan offroad dan meningkatkan kinerja keseluruhan dalam kondisi ekspedisi.",Teknik Mesin
1238,TROUBLESHOOTING SISTEM BAHAN BAKAR PADA PESAWAT CESSNA 172N,"Pada sistem bahan bakar pesawat cessna 172N memiliki banyak sistem. Salah satunya sistem bahan bakar. Sistem ini berfungsi untuk memastikan, mengalirkan, dan mengelolah bahan bakar yang akan masuk ke mesin pesawat yang pendistribusian bahan bakarnya menggunakan bantuan gaya gravitasi. Pesawat cessna 172N yang sudah lebih dari 6 bulan tidak beroperasi mengalami tidak ada bahan bakar yang mengalir ke carburetor. Dalam penelitian langsung ini bertujuan untuk menganalisis dan cara penanganan terjadinya bahan bakar yang tidak mengalir ke carburetor di pesawat cessna 172N. Terjadi bahan bakar yang tidak mengalir ke carburetor harus adanya maintenance pada sistem bahan bakar dari fuel tank inpection, fuel line inpection, plugged pipe line inspection, defective fuel selector valve inpection, hingga plugged fuel strainer inspection untuk mengidentifikasi sumber permasalahan. Pada penelitian penyebab terjadinya bahan bakar tidak mengalir ke carburetor adalah bahan bakar yang terkontaminasi dan endapan pada drum penyimpanan bahan bakar dan fuel tank pesawat yang sudah lama tidak beroperasi terdapat endapan. Pada saat bahan bakar yang telah terkontaminansi masuk dari fuel tank ke sistem bahan bakar pesawat maka terjadi penyumbatan di fuel strainer. Terjadinya penyumbatan pada fuel strainer akibat endapan yang menutup filter maka bahan bakar tidak bisa mengalir ke carburetor. Dengan masalah tersebut maka perlu melakukan repair pada bagian fuel strainer dan fuel tank, selanjutnya melakukan pemeriksaan dan pengetesan sistem bahan bakar pesawat. Cara mengatasi bahan bakar yang terkontaminasi dan endapan maka pada fuel tank dengan melakukan pengurasan bahan bakar sebelum pengisian ulang bahan bakar, melakukan penyemprotan ACF-15 pada fuel tank.",Teknik Mesin
2655,ANALISA KERUSAKAN HIGH PRESSURE COMPRESSOR YANG MENYEBABKAN HIGH EXHAUST GAS TEMPERATURE PADA INSIDEN ENGINE FLAME OUT PADA PESAWAT BOEING 737-800 REGISTRASI PK-LKK MASKAPAI LION AIR DI PT.BATAM AERO TECHNIC (EALM-CGK),"Faktor Yang mempengaruhi insiden engine flame out pada pesawat terbang,dimana harus sangat diperhatikan karena insiden ini berbahaya yang bisa menyebabkan pesawat terbang mengalami kecelakaan, untuk metode penelitian yang digunakan dalam skripsi ini adalah studi literatur dan analisis data. Studi literatur dilakukan dengan membaca buku, jurnal, dan dokumen terkait tentang engine flame out pada pesawat terbang . untuk analisis data yang dilakukan dengan mempelajari laporan insiden pesawat terbang Boeing 737-800NG (PK-LKK) yang terjadi karena engine",Teknik Mesin
2934,REPAIR PASSENGER SERVICE UNIT (PSU) PESAWAT HERCULES C-130 A 1341 DENGAN MENGGUNAKAN METODE HAND LAY UP DI PT. PUTRA BANGSA SEJATI,"Passenger Service Unit (PSU) yaitu komponen pesawat yang terletak diatas pada setiap baris kursi penumpang pesawat. PSU terdiri dari lampu baca, pengeras suara, AC dan sebagainya. PSU ini mengalami kerusakan cacat pada bagian pinggir dan mengalami perubahan bentuk, patah pada kayu albasia serta daya rekat yang berkurang. Kerusakan ini tidak berpengaruh terhadap performa pesawat namun mengganggu nilai estetika dari pesawat tersebut. Metode yang digunakan dalam repair Passenger Service Unit (PSU) ini menggunakan metode hand lay up. Hand lay up merupakan proses open mould atau cetakan terbuka dengan cara mengaplikasikan resin pada bahan penguat yaitu menggunakan kuas atau roll. Pada repair ini terdiri dari beberapa proses seperti rekondisi, bonding atau perekatan, filling dan painting. Hasil repair Passenger Service Unit (PSU) yang semula memiliki kerusakan secara visual seperti adanya perubahan bentuk, patah pada kayu albasia serta daya rekat yang berkurang dan setelah PSU dilakukan perbaikan maka PSU kembali seperti semula tetapi masih ada beberapa permukaan yang belum rata dan terdapat lubang-lubang kecil dibagian pinggir yang direkatkan. Pada kali ini metode hand lay up digunakan untuk repair Passenger Sevice Unit (PSU) dengan mengikuti repair manual yang ada di PT. Putra Bangsa Sejati. Pada proses ini terdapat rekondisi untuk meratakan permukaan, bonding untuk merekatkan permukaan dan painting untuk memperindah dan melapisi kulit PSU. PSU harus direkondisi agar dapat merekatkan antarpermukaan dan agar tidak terjadi dishbond. Hasil repair debonding menunjukan hasil yang berbeda, pada repair PSU memiliki kekurangan yang berupa permukaan belum rata, terdapat void serta ada lubang-lubang kecil karena keterbatasan alat yang digunakan.",Teknik Mesin
3155,PERANCANGAN DAN ANALISIS DAYA TURBIN AIR UNTUK ALIRAN ARUS RENDAH,"Seiring berjalannya waktu, konsumsi energi listrik yang dibutuhkan di Indonesia semakin besar. Berbagai upaya terus dilakukan baik mencari potensi energi yang baru atau dengan mengembangkan teknologi yang sudah ada. Selain dari kebutuhan energi listrik yang terus meningkat, maka dari itu dilakukanlah upaya untuk menyuplai kebutuhan energi listrik dengan memanfaatkan potensi dan kondisi yang ada pada daerah tertentu. Energi air sudah dimanfaatkan secara luas dan digunakan untuk pembangkit listrik. Potensi air sebagai sumber energi terutama digunakan sebagai penyedia energi listrik tenaga air maupun piko hidro. Salah satu pemanfaatan energi air adalah dengan membuat pembangkit listrik tenaga air. Metode penelitian yang digunakan adalah analisis perancangan. Dibutuhkan perancangan turbin air menggunakan aplikasi SolidWorks untuk dapat mengetahui bentuk dari turbin yang memiliki sifat sederhana, portable dan dapat dibawa kemana saja. Ukuran yang memenuhi kriteria yang diinginkan yaitu 10 cm untuk diameternya serta 4 cm untuk tingginya. Setelah melakukan perancangan turbin, selanjutnya dilakukan perhitungan dan analisis daya yang dikeluarkan oleh turbin air. Data yang dibutuhkan untuk melakukan perhitungan adalah debit air 1.48×10-5 m3/s, head 6×10-2 m, massa jenis air 1000 kg/m3, percepatan gravitasi 9.81 m/s2, efisiensi turbin 12.6 %. Dengan menggunakan rumus daya turbin, P = 1.48×10-5 × 6×10-2 × 1000 × 9.81 × 0.126, maka daya turbin dengan nilai debit air 1.48×10-5 m3/s adalah 11 Watt. Lalu dilakukan perhitungan ke-2 dengan nilai debit air yang digunakan sebesar 9.6×10-5 m3/s dan efisiensi turbin sebesar 24.9 %. Setelah dilakukan perhitungan, didapatlah nilai daya turbin sebesar 14 Watt.",Teknik Mesin
3360,ANALISA PENGARUH PRE-HEAT PADA PEMBUATAN CETAKAN PASIR SILIKA DI BALAI BESAR LOGAN DAN MESIN,"Sering terjadinya cacat pada hasil coran bisa diakibatkan dari cetakan pasir itu sendiri. Temperatur yang tinggi dari coran logam ini sering mengakibatkan cetakan mudah rusak dikarenakan perubahan temperatur yang drastis. Kekuatan cetakan tersebut sangat berpengaruh pada hasil coran setelah dingin. Pre-Heat itu sendiri bertujuan untuk meminimalisasi kerusakan cetakan saat coran yang bertemperatur tinggi dimasukan kedalam cetakan. Tujuan penelitian ini yaitu guna mengetahui pengaruh Pre-Heat terhadap cetakan pasir serta mengetahui ikatan yang timbul akibat Pre-Heat. Sampel yang digunakan pada penelitian adalah campuran pasir silika reklamasi dengan komposisi resin 2% dari pasir dan katalis 25% dari resin. Pengujian yang dilakukan diantaranya yaitu uji distribusi pasir, uji kadar air, uji kuat tekan, uji LOI (Loss Of Ignition) dan uji SEM (Scanning Electron Microscopy). Hasil analisa menunjukan bahwa pasir dengan temperatur Pre-Heat 65oC memiliki nilai kuat tekan 23,3 kg/cm2. Dalam sampel tersebut pun terlihat ikatan yang diakibatkan oleh Pre-Heat menghasilkan ikatan yang padat pada sampel sehingga sampel tak mudah rusak.",Teknik Mesin
4287,ANALISIS TERJADINYA LOW OIL PRESSURE PADA MESIN AVCO LYCOMING PESAWAT CESSNA 172N,"Pesawat Cessna 172N mempunyai mesin avco lycoming. Pada mesin avco lycoming terdapat oil pressure sistem. Oil pressure terdapat garis merah bawah pada 25 psi menunjukkan oli minimum tekanan diizinkan dalam penerbangan. Busur hijau antara 60 hingga 85 psi menggambarkan kisaran tekanan oli operasi yang diinginkan. Merah garis pada 100 psi menunjukkan tekanan oli maksimum yang diizinkan pada indikator. Pelumasan pada mesin avco lycoming menggunakan pelumasan sistem basah (wet sump). Penelitian ini bertujuan untuk mengetahui penyebab terjadinya low oil pressure, upaya perbaikan low oil pressure, upaya pencegahan low oil pressure. Untuk menangani kejadian oil pressure hose bocor yang mengakibatkan tekanan oli rendah, yang harus dilakukan adalah troubleshooting dari low oil supply, low viscosity oil, oil pressure relief valve, oil pump, oil filter, pressure or suction line. Berdasarkan analisis penyebab terjadinya low oil pressure mesin avco lycoming pesawat Cessna 172N adalah kebocoran oil pressure hose, dengan bocornya oil pressure hose dilakukan pergantian komponen oil pressure hose tersebut, melakukan pemeriksaan (inspection) dan pengetesan (engine test). Upaya pencegahan terjadinya low oil pressure mesin avco lycoming adalah memastikan pasokan oli cukup yaitu 6 quarts, viskositas baik suhu tinggi maupun rendah, katup pelepas tekanan oli dapat mengatur tekanan, pompa oli dapat memompa dan mengalirkan oli, filter oli dapat menyaring kotoran dan jalur tekanan atau hisap seperti oil pressure hose tidak bocor.",Teknik Mesin
4888,KLASIFIKASI KOMENTAR DI TWITTER UNTUK MENGETAHUI HASIL PERSENTASE DUKUNGAN KANDIDAT CALON GUBERNUR JAWA BARAT DENGAN ALGORITMA ARTIFICIAL NEURAL NETWORK PERCEPTRON,"Twitter kini menjadi salah satu social media yang paling sering digunakan dan memberi pengaruh, utamanya di Indonesia. Namun, klasifikasi komentar pada Twitter berbahasa Indonesia masih cukup jarang dilakukan padahal penerapannya sangat luas. Penelitian ini bertujuan untuk melakukan klasifikasi pada komentar negatif dan positif di Twitter untuk mengetahui hasil persentase dukungan kandidat calon gubernur jawa barat. Pada penelitian ini, membuat aplikasi klasifikasi komentar menggunakan algoritma Artificial Neural Network (ANN) Perceptron.Dengan menggunakan metode Algoritma Artificial Neural Network hasilnya sistem ini diharapkan dapat membantu calon kandidat gubernur dalam menyikapi komentar negatif maupun positif.",Teknik Mesin
5952,"ANALISA PERBANDINGAN PERFORMANCE ENGINE CFM 56-5B CEO (CURRENT ENGINE OPTION) DENGAN ENGINE CFM LEAP 1A NEO (NEW ENGINE OPTION) PADA PESAWAT AIRBUS BERDASARKAN 5 (LIMA) PARAMETER SETELAH ENGINE GROUND RUN UP MILIK MASKAPAI CITILINK CTV PT. GARUDA MAINTENANCE FACILITY AEROASIA, Tbk","Engine Run Up Performance merupakan salah satu task yang bertujuan untuk melihat performa engine serta mengamati terjadinya leak ataupun abnormality pada saat engine running. Pelaksanaan engine run-up harus dilakukan di dedicated area berdasarkan requirement yang harus dipenuhi. GMF memiliki area run-up khusus yang disebut Run-up Bay yang letaknya di bagian barat Hangar 1 dengan kapasitas 2 pesawat Narrow Body. Penurunan performa engine dalam beberapa kondisi memungkinkan engine tidak dapat lagi dirawat untuk mencapai performa yang disyaratkan. Menurut CFM masalah ini dapat diatasi dengan menurunkan versi (thrust Rate) engine, dengan begitu engine tersebut tetap dapat beroperasi dengan standar performa yang lebih rendah dari versi awal. Tugas akhir ini bertujuan untuk membandingkan performance engine CFM 56-5B dengan engine CFM LEAP 1A pada pesawat Airbus berdasarkan 5 parameter setelah engine ground run up. Penelitian ini menggunakan metode pengumpulan data dengan cara observasi dan wawancara. Perbandingan performance dilakukan dengan pengolahan data yang didapat dari Run Up Man dan juga data Test Cell dengan membandingkan dari nilai 5 parameter kedua engine untuk mengetahui performance dari keduanya. Hasil dari analisa perbandingan 5 parameter setelah dilaksanakan engine ground run up ini memiliki kaitan berdasarkan fungsinya, maka dapat disimpulkan bahwa N1, N2, EGT, FF saling berkaitan satu sama lain. Seperti engine vibration itu bisa mendapatkan inputan dari N1 dan N2. EGT juga berkaitan dengan N2 karena temperature yang berada di exhaust.",Teknik Mesin
6213,ANALISIS PERBANDINGAN GAYA DORONG (THRUST) MESIN HONEYWELL TPE331–10R-512C DAN MESIN HONEYWELL TPE331- 12JR-701C TERHADAP VARIASI KETINGGIAN TERBANG MENGGUNAKAN PERHITUNGAN TERMODINAMIKA,"Gaya dorong (thrust) merupakan faktor yang sangat penting pada sebuah mesin pesawat terbang. Pada mesin turboprop, gaya dorong sebagian besar dihasilkan oleh energi gas buang yang memutar turbin lalu disalurkan ke baling-baling (propeller) melalui poros yang sama, putaran turbin direduksi terlebih dahulu oleh reduction gearbox yang kemudian memutarkan propeller. Mesin Honeywell TPE331–10R-512C dan mesin Honeywell TPE331-12JR-701C merupakan mesin pesawat turboprop ber-tipe single spool yang menggunakan dua stage centrifugal compressor dan tiga stage axial turbine. Berdasarkan analisis dan perhitungan menggunakan rumus termodinamika dapat diketahui nilai gaya dorong dari kedua mesin. Dari data mesin Honeywell TPE331–10R-512C dan mesin Honeywell TPE331-12JR-701C yang diperoleh pada saat penelitian, maka hasil perhitungan yang didapatkan pada mesin Honeywell TPE331-10R-512C untuk nilai terbesar propeller thrust sebesar 7,307 kN, nozzle thrust sebesar 0,111 kN dan total thrust sebesar 7,419 kN. Pada mesin Honeywell TPE331- 12JR-701C nilai terbesar propeller thrust sebesar 7,774 kN, nozzle thrust sebesar 0,117 kN dan total thrust sebesar 7,891 kN, gaya dorong (thrust) terbesar diperoleh pada saat ketinggian terbang 0 ft (sea level). Jadi, gaya dorong total (total thrust) mesin Honeywell TPE331-12JR-701C memiliki nilai 6,37% lebih tinggi dari total thrust mesin Honeywell TPE331-10R-512C pada saat ketinggian 0 ft (sea level). Sedangkan untuk rata-rata total thrust berdasarkan variasi ketinggian dari mesin Honeywell TPE331-12JR-701C memiliki nilai 6,59% lebih tinggi dari rata-rata total thrust mesin Honeywell TPE331-10R-512C, sehingga mesin Honeywell TPE331-12JR-701C menghasilkan performa total thrust yang lebih baik.",Teknik Mesin
